季度,事件,名称,明细
2015Q1,入库,"ts_decay_linear(abs(returns),5)",类库 IC=+0.123 方向=+1
2015Q1,入库,abs(returns),类库 IC=+0.109 方向=+1
2015Q1,入库,returns,类库 IC=+0.047 方向=+1
2015Q1,入库,"sub(close,ts_decay_linear(amount,244))",类库 IC=+0.036 方向=+1
2015Q1,入库,"ts_std(high,5)",类库 IC=+0.068 方向=+1
2015Q1,入库,"ts_slope(sub(low,high),10)",类库 IC=+0.083 方向=-1
2015Q1,入库,"ts_er(amount,3)",类库 IC=+0.027 方向=+1
2015Q1,入库,"delay(delay(close,40),60)",专属hs300 IC=+0.044 方向=-1
2015Q1,入库,"neg(div(div(volume,ts_min(volume,5)),ts_min(ts_min(high,40),244)))",专属zz500 IC=+0.016 方向=-1
2015Q1,入库,"slog(div(low,high))",专属zz500 IC=+0.229 方向=-1
2015Q1,入库,"div(volume,delta(ts_decay_linear(mul(low,low),40),244))",专属zz500 IC=+0.081 方向=+1
2015Q1,入库,"ts_min(returns,60)",专属zz500 IC=+0.109 方向=-1
2015Q1,入库,"slog(neg(ts_tsi(returns,5)))",专属zz500 IC=+0.068 方向=-1
2015Q1,入库,"add(add(ts_max(ts_max(low,244),244),ts_max(delay(beta120,120),244)),ts_rank(low,",专属zz1000 IC=+0.288 方向=-1
2015Q1,入库,"div(ts_max(delay(beta120,120),244),ssqrt(ts_slope(high,120)))",专属zz1000 IC=+0.117 方向=+1
2015Q1,入库,"ts_tsi(returns,244)",专属zz1000 IC=+0.077 方向=+1
2015Q1,入库,"mul(ts_max(delay(beta120,120),244),low)",专属zz1000 IC=+0.294 方向=-1
2015Q1,入库,"sub(amount,beta120)",专属zz1000 IC=+0.179 方向=-1
2015Q1,入库,"div(close,ts_rank(div(close,low),120))",专属cyb IC=+0.070 方向=-1
2015Q1,入库,"div(div(div(high,ts_rank(ts_zscore(returns,60),120)),ts_rank(div(close,low),120)",专属cyb IC=+0.151 方向=-1
2015Q1,入库,"div(ts_rank(ts_tsi(returns,40),60),open)",专属cyb IC=+0.065 方向=+1
2015Q1,入库,"div(amount,ts_rank(div(close,high),120))",专属cyb IC=+0.077 方向=-1
2015Q1,入库,"div(high,ts_rank(ts_zscore(delta(ts_rank(close,3),120),60),5))",专属cyb IC=+0.103 方向=-1
2015Q1,入库,"div(close,ts_rank(returns,3))",专属cyb IC=+0.186 方向=-1
2015Q1,入库,"div(div(close,ts_rank(div(close,low),120)),ts_zscore(div(close,low),60))",专属cyb IC=+0.092 方向=+1
2015Q1,入库,"ts_rank(ts_tsi(ts_corr(volume,returns,3),3),120)",专属cyb IC=+0.040 方向=+1
2015Q1,入库,"div(ts_rank(returns,120),ts_rank(div(close,low),120))",专属cyb IC=+0.063 方向=-1
2015Q1,入库,"abs(div(ts_sum(amount,244),mul(returns,ts_decay_linear(ts_tsi(entropy120,10),5))",专属hongli IC=+0.087 方向=-1
2015Q1,入库,"abs(div(ts_sum(ts_tsi(volume,10),244),mul(returns,volume)))",专属hongli IC=+0.106 方向=-1
2015Q1,入库,"abs(div(delay(mul(returns,amount),244),mul(returns,volume)))",专属hongli IC=+0.072 方向=-1
2015Q2,立即退役,"div(volume,delta(ts_decay_linear(mul(low,low),40),244))",IC=-0.026
2015Q2,入库,"ts_zscore(sub(high,low),244)",专属hs300 IC=+0.137 方向=+1
2015Q2,入库,"ts_er(amount,60)",专属hs300 IC=+0.045 方向=+1
2015Q2,入库,"ema(div(open,high),5)",专属zz500 IC=+0.095 方向=-1
2015Q2,入库,"div(ts_max(volume,244),mul(close,close))",专属zz500 IC=+0.249 方向=+1
2015Q2,入库,"ts_std(returns,3)",专属zz1000 IC=+0.142 方向=+1
2015Q2,入库,"ssqrt(ts_sum(mul(returns,returns),20))",专属zz1000 IC=+0.098 方向=+1
2015Q2,入库,"ssqrt(ts_argmax(volume,5))",专属zz1000 IC=+0.022 方向=-1
2015Q2,入库,"ts_std(returns,5)",专属zz1000 IC=+0.196 方向=+1
2015Q2,入库,"ts_min(abs(neg(returns)),60)",专属zz1000 IC=+0.036 方向=+1
2015Q2,入库,"ts_min(ts_sum(ts_std(slog(amount),20),20),244)",专属zz1000 IC=+0.028 方向=+1
2015Q2,入库,"ts_argmax(mul(ts_mean(close,3),div(low,volume)),60)",专属zz1000 IC=+0.082 方向=-1
2015Q2,入库,"ts_std(open,3)",专属zz1000 IC=+0.086 方向=+1
2015Q2,入库,"ssqrt(ts_tsi(ts_min(mul(returns,returns),5),244))",专属zz1000 IC=+0.067 方向=+1
2015Q2,入库,"ts_max(ts_tsi(mul(returns,returns),60),3)",专属zz1000 IC=+0.103 方向=+1
2015Q2,入库,"ts_tsi(ssqrt(ts_zscore(returns,5)),5)",专属cyb IC=+0.083 方向=+1
2015Q2,入库,"delta(ts_zscore(ts_zscore(neg(div(close,low)),10),5),5)",专属cyb IC=+0.116 方向=-1
2015Q2,入库,"ts_zscore(ts_zscore(ts_rank(ts_zscore(returns,120),10),5),5)",专属cyb IC=+0.166 方向=+1
2015Q2,入库,"ts_sum(div(low,high),3)",专属cyb IC=+0.073 方向=-1
2015Q2,入库,"ssqrt(ts_tsi(ts_zscore(ts_rank(ts_er(returns,120),10),5),5))",专属cyb IC=+0.108 方向=+1
2015Q2,入库,"ts_tsi(ts_zscore(ts_zscore(returns,120),5),10)",专属cyb IC=+0.130 方向=+1
2015Q2,入库,"ts_tsi(ssqrt(ts_std(returns,5)),5)",专属cyb IC=+0.112 方向=+1
2015Q2,入库,"ts_tsi(ssqrt(ts_argmin(returns,5)),5)",专属cyb IC=+0.063 方向=+1
2015Q3,黄牌退役,元老:AR系数,IC=-0.003
2015Q3,黄牌退役,"abs(div(delay(mul(returns,amount),244),mul(returns,volume)))",IC=-0.007
2015Q3,立即退役,"ts_min(ts_sum(ts_std(slog(amount),20),20),244)",IC=-0.099
2015Q3,入库,"ts_argmax(high,60)",专属hs300 IC=+0.040 方向=-1
