date,open,high,low,close,volume,amount
2012-05-28,2.551,2.607,2.544,2.604,1277518769.0,3285755320.0
2012-05-29,2.602,2.661,2.602,2.644,714949008.0,1875593354.0
2012-05-30,2.642,2.647,2.633,2.636,265887198.0,701725789.0
2012-05-31,2.621,2.645,2.613,2.63,178155984.0,468193104.0
2012-06-01,2.629,2.66,2.62,2.63,179350035.0,473477195.0
2012-06-04,2.601,2.604,2.555,2.558,546074272.0,1413413525.0
2012-06-05,2.562,2.572,2.556,2.561,127167495.0,326150601.0
2012-06-06,2.563,2.574,2.548,2.559,136922726.0,350839411.0
2012-06-07,2.578,2.583,2.536,2.543,336424017.0,860028328.0
2012-06-08,2.558,2.56,2.53,2.534,210182214.0,534630030.0
2012-06-11,2.543,2.577,2.536,2.564,225455591.0,576327103.0
2012-06-12,2.55,2.562,2.538,2.548,157723725.0,401878820.0
2012-06-13,2.56,2.588,2.55,2.585,188133567.0,483872804.0
2012-06-14,2.58,2.598,2.571,2.574,152554664.0,394044038.0
2012-06-15,2.582,2.594,2.557,2.584,159835267.0,411542174.0
2012-06-18,2.589,2.608,2.588,2.592,132126533.0,342959058.0
2012-06-19,2.59,2.59,2.572,2.573,105011686.0,270933104.0
2012-06-20,2.58,2.587,2.57,2.57,119277367.0,307520556.0
2012-06-21,2.563,2.564,2.517,2.53,179224170.0,453655580.0
2012-06-25,2.527,2.527,2.476,2.48,231481108.0,579443696.0
2012-06-26,2.472,2.485,2.462,2.48,185228901.0,458451962.0
2012-06-27,2.478,2.493,2.47,2.471,151365795.0,375457752.0
2012-06-28,2.48,2.486,2.455,2.457,169573950.0,418670239.0
2012-06-29,2.451,2.488,2.448,2.485,197204211.0,486289905.0
2012-07-02,2.495,2.495,2.476,2.485,186222256.0,463059443.0
2012-07-03,2.488,2.516,2.482,2.489,146903100.0,367051138.0
2012-07-04,2.494,2.504,2.484,2.489,110336405.0,275036931.0
2012-07-05,2.479,2.479,2.452,2.461,208773911.0,513592301.0
2012-07-06,2.466,2.512,2.452,2.501,175797830.0,436554831.0
2012-07-09,2.489,2.499,2.448,2.451,164864331.0,408098778.0
2012-07-10,2.449,2.453,2.438,2.441,204195965.0,499158637.0
2012-07-11,2.438,2.458,2.435,2.452,169297647.0,414092857.0
2012-07-12,2.446,2.487,2.437,2.474,266044440.0,655043267.0
2012-07-13,2.473,2.496,2.471,2.478,177890449.0,441479099.0
2012-07-16,2.481,2.482,2.437,2.438,227361107.0,556372742.0
2012-07-17,2.437,2.449,2.431,2.443,258532838.0,630134240.0
2012-07-18,2.441,2.451,2.406,2.443,315295930.0,766719579.0
2012-07-19,2.441,2.473,2.437,2.451,338043984.0,830268783.0
2012-07-20,2.445,2.451,2.427,2.433,270297800.0,659710351.0
2012-07-23,2.411,2.411,2.392,2.403,185688542.0,445845218.0
2012-07-24,2.397,2.423,2.395,2.408,230423665.0,554385067.0
2012-07-25,2.4,2.414,2.39,2.393,138906724.0,333627584.0
2012-07-26,2.395,2.407,2.38,2.382,254895999.0,610152261.0
2012-07-27,2.389,2.396,2.377,2.385,372468536.0,888581778.0
2012-07-30,2.389,2.399,2.372,2.377,230320619.0,549167623.0
2012-07-31,2.378,2.385,2.366,2.371,421498384.0,1001090738.0
2012-08-01,2.372,2.401,2.372,2.389,261555591.0,624664260.0
2012-08-02,2.386,2.389,2.359,2.371,208725821.0,495894114.0
2012-08-03,2.375,2.386,2.368,2.385,173736637.0,412710948.0
2012-08-06,2.383,2.42,2.382,2.416,314425730.0,755432645.0
2012-08-07,2.415,2.421,2.412,2.419,258440372.0,624693716.0
2012-08-08,2.423,2.436,2.416,2.421,232950212.0,564756029.0
2012-08-09,2.422,2.448,2.412,2.445,201000366.0,488752020.0
2012-08-10,2.447,2.447,2.433,2.438,111870103.0,273056082.0
2012-08-13,2.431,2.431,2.389,2.392,295936636.0,713474274.0
2012-08-14,2.393,2.396,2.36,2.388,322602237.0,767577944.0
2012-08-15,2.383,2.383,2.364,2.366,191010978.0,453117708.0
2012-08-16,2.367,2.37,2.357,2.359,122866266.0,290402422.0
2012-08-17,2.359,2.36,2.335,2.349,175726529.0,412189237.0
2012-08-20,2.333,2.343,2.242,2.336,170506151.0,396240929.0
2012-08-21,2.336,2.367,2.333,2.345,234889417.0,552081888.0
2012-08-22,2.347,2.349,2.323,2.328,129801974.0,302900817.0
2012-08-23,2.333,2.348,2.322,2.339,167054637.0,390070494.0
2012-08-24,2.33,2.332,2.313,2.316,158441884.0,367720684.0
2012-08-27,2.305,2.305,2.267,2.268,314323326.0,716814677.0
2012-08-28,2.265,2.284,2.26,2.268,217624127.0,493740043.0
2012-08-29,2.262,2.274,2.25,2.253,213328159.0,482331412.0
2012-08-30,2.246,2.255,2.226,2.243,232674434.0,521648616.0
2012-08-31,2.24,2.251,2.238,2.243,203186243.0,456087329.0
2012-09-03,2.238,2.27,2.233,2.257,238842576.0,538901338.0
2012-09-04,2.261,2.267,2.232,2.233,224764716.0,506401971.0
2012-09-05,2.233,2.241,2.223,2.232,218155984.0,486821063.0
2012-09-06,2.235,2.254,2.232,2.254,169650767.0,380480259.0
2012-09-07,2.267,2.385,2.267,2.357,558933727.0,1308147825.0
2012-09-10,2.36,2.37,2.353,2.365,239091508.0,564596260.0
2012-09-11,2.349,2.35,2.331,2.347,286374277.0,670007779.0
2012-09-12,2.365,2.378,2.334,2.359,277382682.0,652823793.0
2012-09-13,2.352,2.363,2.335,2.336,205652699.0,483482352.0
2012-09-14,2.354,2.37,2.335,2.352,323767643.0,762010302.0
2012-09-17,2.346,2.348,2.295,2.297,270617163.0,628467027.0
2012-09-18,2.282,2.287,2.262,2.269,222930580.0,507931998.0
2012-09-19,2.269,2.284,2.262,2.278,278485038.0,632625617.0
2012-09-20,2.273,2.273,2.226,2.229,408269501.0,918380882.0
2012-09-21,2.221,2.25,2.219,2.228,277052151.0,618928591.0
2012-09-24,2.214,2.263,2.204,2.248,314290169.0,701343622.0
2012-09-25,2.241,2.257,2.235,2.245,172181047.0,386972275.0
2012-09-26,2.243,2.252,2.218,2.221,162960701.0,363710512.0
2012-09-27,2.225,2.336,2.224,2.285,479172703.0,1089681314.0
2012-09-28,2.271,2.339,2.265,2.338,502110976.0,1158247609.0
2012-10-08,2.335,2.339,2.29,2.303,190407801.0,440638937.0
2012-10-09,2.315,2.368,2.315,2.356,368639934.0,866502519.0
2012-10-10,2.347,2.36,2.339,2.356,192738074.0,453337654.0
2012-10-11,2.348,2.356,2.335,2.34,236234561.0,553800263.0
2012-10-12,2.348,2.368,2.321,2.338,283715279.0,665542699.0
2012-10-15,2.344,2.344,2.315,2.33,173331951.0,403148815.0
2012-10-16,2.329,2.352,2.321,2.331,303313385.0,709483994.0
2012-10-17,2.343,2.348,2.317,2.34,233149992.0,544501175.0
2012-10-18,2.345,2.376,2.344,2.369,282792795.0,667742679.0
2012-10-19,2.366,2.375,2.363,2.369,163313551.0,386981333.0
2012-10-22,2.359,2.384,2.352,2.378,233199489.0,551873077.0
2012-10-23,2.377,2.379,2.349,2.351,261856331.0,618942681.0
2012-10-24,2.345,2.359,2.342,2.347,215470345.0,505998006.0
2012-10-25,2.347,2.357,2.327,2.328,243580691.0,570138479.0
2012-10-26,2.329,2.332,2.268,2.276,305971025.0,701312998.0
2012-10-29,2.272,2.279,2.258,2.265,238310475.0,540850432.0
2012-10-30,2.268,2.289,2.263,2.27,330497135.0,750876413.0
2012-10-31,2.272,2.288,2.265,2.286,243353492.0,554099080.0
2012-11-01,2.291,2.344,2.287,2.334,338128104.0,785933186.0
2012-11-02,2.334,2.343,2.318,2.339,266208981.0,620991736.0
2012-11-05,2.337,2.357,2.323,2.333,241740472.0,564524913.0
2012-11-06,2.338,2.34,2.291,2.324,311847850.0,721092974.0
2012-11-07,2.32,2.338,2.309,2.322,310063038.0,719763291.0
2012-11-08,2.307,2.31,2.279,2.28,350699111.0,805645246.0
2012-11-09,2.276,2.285,2.269,2.274,302511057.0,688809239.0
2012-11-12,2.276,2.289,2.264,2.282,324962305.0,740234171.0
2012-11-13,2.282,2.282,2.242,2.247,389247380.0,878118527.0
2012-11-14,2.25,2.256,2.243,2.253,321638345.0,723166484.0
2012-11-15,2.244,2.255,2.224,2.226,414774187.0,929461173.0
2012-11-16,2.223,2.224,2.196,2.205,415832688.0,917425292.0
2012-11-19,2.204,2.207,2.183,2.205,338625302.0,744459640.0
2012-11-20,2.211,2.215,2.195,2.199,302369712.0,667054250.0
2012-11-21,2.2,2.229,2.186,2.226,489243817.0,1080560498.0
2012-11-22,2.212,2.217,2.2,2.213,299881838.0,662953420.0
2012-11-23,2.217,2.235,2.214,2.225,416464364.0,925710016.0
2012-11-26,2.221,2.222,2.203,2.211,338070384.0,748807817.0
2012-11-27,2.202,2.206,2.186,2.187,369831105.0,812727447.0
2012-11-28,2.182,2.182,2.16,2.163,355128128.0,770908119.0
2012-11-29,2.168,2.173,2.154,2.155,379022647.0,820276322.0
2012-11-30,2.15,2.172,2.147,2.165,416837419.0,899064508.0
2012-12-03,2.168,2.18,2.143,2.145,306158705.0,663143487.0
2012-12-04,2.14,2.166,2.138,2.162,399300134.0,857559413.0
2012-12-05,2.161,2.252,2.158,2.238,619519593.0,1371643814.0
2012-12-06,2.239,2.246,2.226,2.235,423682120.0,947438519.0
2012-12-07,2.235,2.287,2.233,2.28,577485563.0,1305741576.0
2012-12-10,2.293,2.307,2.285,2.301,497570939.0,1141330177.0
2012-12-11,2.292,2.306,2.288,2.294,325695412.0,747541519.0
2012-12-12,2.296,2.306,2.286,2.299,469480011.0,1076884260.0
2012-12-13,2.29,2.297,2.279,2.281,333202696.0,761751487.0
2012-12-14,2.279,2.4,2.279,2.396,574047553.0,1348512304.0
2012-12-17,2.398,2.408,2.392,2.403,475098166.0,1141079039.0
2012-12-18,2.4029999999999996,2.4405151898734174,2.3827215189873416,2.3989443037974683,440182275.70536834,1060453203.0
