date,open,high,low,close
2016-12-19,262.45,263.5,262.02,262.76
2016-12-20,262.88,263.7,261.42,262.06
2016-12-21,262.4,262.65,258.6,260.97
2016-12-22,261.18,261.18,259.05,260.0
2016-12-23,258.95,260.37,258.7,260.07
2016-12-26,260.0,261.45,259.8,261.4
2016-12-27,261.4,261.79,260.6,261.67
2016-12-28,262.5,262.9,260.11,261.91
2016-12-29,261.6,263.2,260.8,262.99
2016-12-30,262.84,265.8,261.0,263.9
2017-01-03,264.04,265.2,258.0,263.65
2017-01-04,263.99,265.0,263.2,264.87
2017-01-05,265.98,265.98,264.0,264.73
2017-01-06,264.9,265.65,263.5,265.29
2017-01-09,265.06,266.0,264.66,265.89
2017-01-10,265.89,268.6,265.89,268.11
2017-01-11,268.88,269.88,268.0,269.09
2017-01-12,269.0,269.77,266.75,269.33
2017-01-13,270.6,270.6,268.42,268.79
2017-01-16,269.0,270.99,268.15,270.5
2017-01-17,270.98,272.51,270.0,272.18
2017-01-18,273.0,273.0,270.95,271.03
2017-01-19,273.0,273.0,268.0,268.03
2017-01-20,268.99,269.36,268.0,269.05
2017-01-23,269.33,271.0,268.15,270.28
2017-01-24,270.48,270.66,269.7,269.85
2017-01-25,270.49,271.15,267.7,268.07
2017-01-26,268.99,268.99,265.8,266.25
2017-02-03,266.25,270.1,266.25,269.3
2017-02-06,268.01,272.4,267.3,271.79
2017-02-07,272.2,274.7,272.2,274.16
2017-02-08,274.2,275.39,273.85,274.35
2017-02-09,275.97,277.65,275.51,276.31
2017-02-10,276.2,276.69,272.95,272.83
2017-02-13,273.97,275.01,273.1,274.64
2017-02-14,274.98,274.98,272.7,274.06
2017-02-15,274.49,274.59,273.0,273.4
2017-02-16,273.99,275.45,272.1,274.93
2017-02-17,275.5,276.1,275.11,275.75
2017-02-20,275.75,276.66,274.9,275.5
2017-02-21,276.49,276.49,275.01,275.55
2017-02-22,274.86,276.45,274.5,275.6
2017-02-23,276.48,276.48,275.3,276.2
2017-02-24,276.59,279.84,276.01,279.63
2017-02-27,281.2,281.2,278.81,280.6
2017-02-28,280.4,281.25,279.5,281.83
2017-03-01,280.0,280.35,277.4,278.0
2017-03-02,278.0,279.43,277.0,278.35
2017-03-03,278.49,278.5,275.7,276.23
2017-03-06,275.5,277.0,275.39,276.54
2017-03-07,276.5,276.9,275.38,275.37
2017-03-08,275.9,275.9,273.71,273.79
2017-03-09,274.6,274.6,271.8,272.22
2017-03-10,272.69,273.49,270.2,270.41
2017-03-13,271.78,274.15,270.12,272.9
2017-03-14,271.0,273.88,270.15,271.3
2017-03-15,272.0,272.1,271.0,271.51
2017-03-16,271.4,276.2,271.0,275.89
2017-03-17,275.02,276.48,275.01,275.62
2017-03-20,275.62,277.2,275.62,277.07
2017-03-21,276.7,277.25,275.7,275.75
2017-03-22,276.2,278.95,276.2,278.2
2017-03-23,278.2,278.6,277.81,278.21
2017-03-24,278.4,279.28,277.6,277.88
2017-03-27,278.35,281.0,277.88,280.53
2017-03-28,280.5,281.19,280.0,280.23
2017-03-29,280.5,281.17,279.35,279.74
2017-03-30,279.52,279.99,279.3,279.6
2017-03-31,278.48,279.93,277.6,277.81
2017-04-05,277.81,280.64,277.81,280.63
2017-04-06,280.49,280.55,278.8,280.21
2017-04-07,280.35,284.43,279.7,282.93
2017-04-10,282.9,284.48,280.51,281.39
2017-04-11,281.39,281.9,280.0,281.84
2017-04-12,282.49,285.6,281.5,284.41
2017-04-13,285.58,300.0,284.0,286.69
2017-04-14,286.99,287.0,285.8,286.6
2017-04-17,287.45,288.5,286.41,286.9
2017-04-18,289.99,289.99,285.75,286.13
2017-04-19,285.8,286.69,284.9,285.75
2017-04-20,285.99,285.99,284.9,285.49
2017-04-21,285.0,285.7,284.9,285.36
2017-04-24,286.0,286.82,283.45,283.57
2017-04-25,283.6,284.2,282.5,283.3
2017-04-26,289.0,289.0,281.09,282.05
2017-04-27,282.0,283.2,282.0,282.59
2017-04-28,283.8,283.8,281.51,283.45
2017-05-02,281.99,281.99,280.8,280.94
2017-05-03,281.6,281.6,280.03,280.37
2017-05-04,289.99,289.99,275.6,276.19
2017-05-05,278.0,278.0,274.03,275.87
2017-05-08,280.5,280.5,275.0,275.5
2017-05-09,276.88,276.88,274.55,275.2
2017-05-10,275.24,275.24,273.0,273.89
2017-05-11,274.88,274.88,273.6,274.26
2017-05-12,274.68,275.28,273.9,275.51
2017-05-15,275.39,276.09,274.65,276.29
2017-05-16,276.99,278.0,276.11,276.7
2017-05-17,277.49,277.88,276.31,277.61
2017-05-18,280.0,281.25,278.0,279.82
2017-05-19,298.0,298.0,278.21,279.26
2017-05-22,280.68,280.68,279.03,280.0
2017-05-23,280.0,281.6,280.0,281.4
2017-05-24,281.4,281.69,278.5,278.5
2017-05-25,279.75,280.5,278.7,279.75
2017-05-26,280.99,280.99,279.0,280.35
2017-05-31,280.35,280.35,278.81,279.0
2017-06-01,279.7,280.0,278.58,278.99
2017-06-02,279.59,279.59,277.82,278.16
2017-06-05,276.8,282.0,273.0,281.87
2017-06-06,278.0,283.48,278.0,283.2
2017-06-07,285.0,285.0,283.2,283.75
2017-06-08,283.75,283.83,282.51,282.7
2017-06-09,283.19,283.19,279.5,279.72
2017-06-12,280.74,280.74,278.48,278.85
2017-06-13,279.75,279.75,278.0,278.35
2017-06-14,279.6,279.72,277.8,279.3
2017-06-15,279.35,281.33,277.3,277.47
2017-06-16,277.47,277.47,276.11,276.9
2017-06-19,278.0,278.0,276.01,276.25
2017-06-20,277.5,277.5,275.49,276.01
2017-06-21,276.5,276.5,275.0,275.79
2017-06-22,276.22,277.55,275.2,277.47
2017-06-23,277.47,277.88,277.05,277.78
2017-06-26,278.29,278.8,277.96,277.9
2017-06-27,277.0,277.0,274.8,276.56
2017-06-28,275.55,276.99,275.55,275.94
2017-06-29,277.08,277.08,274.9,275.03
2017-06-30,275.0,275.0,272.85,273.1
2017-07-03,270.0,273.65,270.0,271.84
2017-07-04,272.15,272.15,269.1,270.38
2017-07-05,271.5,271.5,269.5,270.02
2017-07-06,270.2,271.1,269.0,270.12
2017-07-07,270.49,270.79,269.3,269.8
2017-07-10,271.0,271.0,266.0,265.77
2017-07-11,267.5,268.0,266.1,267.55
2017-07-12,267.99,269.39,266.95,268.9
2017-07-13,268.91,269.8,268.19,269.1
2017-07-14,269.8,269.8,267.55,267.79
2017-07-17,268.98,270.79,268.7,270.3
2017-07-18,271.48,271.65,270.6,270.85
2017-07-19,271.49,271.9,270.75,271.35
2017-07-20,272.0,272.0,271.25,271.29
2017-07-21,272.8,273.2,271.2,273.19
2017-07-24,273.5,274.46,273.38,273.8
2017-07-25,274.01,274.47,273.58,273.84
2017-07-26,273.5,273.82,271.7,272.3
2017-07-27,273.0,275.3,271.56,274.6
2017-07-28,274.51,275.45,274.01,274.29
2017-07-31,275.35,276.1,273.93,275.1
2017-08-01,276.48,276.48,273.0,275.3
2017-08-02,275.3,276.0,274.86,274.8
2017-08-03,275.5,275.64,273.6,273.4
2017-08-04,276.0,276.0,274.08,275.26
2017-08-07,275.5,275.6,272.9,273.37
2017-08-08,273.49,273.54,272.45,273.02
2017-08-09,274.49,276.69,271.8,274.14
2017-08-10,274.99,275.98,274.36,275.29
2017-08-11,276.0,277.28,275.99,276.72
2017-08-14,277.48,277.99,276.06,276.6
2017-08-15,277.0,277.0,274.58,274.7
2017-08-16,275.22,275.22,273.71,274.5
2017-08-17,275.16,277.5,274.26,277.0
2017-08-18,277.81,278.7,276.5,278.5
2017-08-21,278.5,279.6,276.5,277.51
2017-08-22,277.51,278.3,276.27,276.67
2017-08-23,277.52,277.68,276.3,277.0
2017-08-24,278.22,278.22,276.91,277.08
2017-08-25,277.99,277.99,276.73,276.8
2017-08-28,277.59,278.42,275.46,278.21
2017-08-29,278.88,281.5,277.5,281.17
2017-08-30,281.5,281.85,277.98,278.0
2017-08-31,279.5,279.5,277.4,277.91
2017-09-01,278.65,280.48,278.1,279.54
2017-09-04,280.48,282.67,279.26,282.04
2017-09-05,282.04,282.04,280.7,281.2
2017-09-06,281.2,282.46,280.61,282.44
2017-09-07,282.98,282.98,280.98,281.39
2017-09-08,281.99,282.35,281.1,281.75
2017-09-11,282.6,282.6,280.8,281.49
2017-09-12,282.0,282.0,279.38,279.85
2017-09-13,279.4,280.72,279.4,280.67
2017-09-14,281.98,281.98,279.37,279.8
2017-09-15,280.2,281.49,279.28,280.2
2017-09-18,280.2,280.7,278.65,278.93
2017-09-19,278.93,279.6,278.0,278.65
2017-09-20,280.0,280.0,278.5,278.89
2017-09-21,279.39,279.96,276.1,276.45
2017-09-22,277.0,277.3,275.5,277.3
2017-09-25,276.4,277.98,275.71,276.55
2017-09-26,276.5,280.86,276.3,280.1
2017-09-27,280.1,280.2,277.7,277.65
2017-09-28,278.29,278.29,276.2,276.67
2017-09-29,277.49,277.85,275.5,277.45
2017-10-09,274.76,276.94,274.76,276.3
2017-10-10,277.32,277.32,275.65,276.21
2017-10-11,277.8,277.8,275.1,275.1
2017-10-12,276.35,276.68,274.9,276.25
2017-10-13,276.75,276.75,275.49,276.5
2017-10-16,276.51,277.8,276.1,278.05
2017-10-17,278.5,278.5,276.2,276.62
2017-10-18,277.5,277.5,275.16,275.7
2017-10-19,276.8,276.8,275.3,274.9
2017-10-20,276.8,276.8,274.81,274.82
2017-10-23,275.85,275.85,273.95,274.08
2017-10-24,273.81,275.7,273.3,275.01
2017-10-25,275.0,275.0,273.72,273.89
2017-10-26,273.51,274.88,273.51,274.5
2017-10-27,274.99,274.99,272.6,272.93
