date,open,high,low,close,volume
2012-05-10,6190.0,6196.0,6082.0,6142.0,259996
2012-05-11,6110.0,6115.0,6000.0,6002.0,206804
2012-05-14,6040.0,6045.0,5960.0,5977.0,207668
2012-05-15,5895.0,5910.0,5711.0,5843.0,445150
2012-05-16,5750.0,5786.0,5643.0,5647.0,599186
2012-05-17,5705.0,5787.0,5691.0,5763.0,558246
2012-05-18,5808.0,5881.0,5768.0,5863.0,695576
2012-05-21,5957.0,5964.0,5903.0,5941.0,405766
2012-05-22,5920.0,5930.0,5882.0,5890.0,371088
2012-05-23,5800.0,5818.0,5759.0,5791.0,300170
2012-05-24,5785.0,5838.0,5766.0,5832.0,301270
2012-05-25,5858.0,5912.0,5804.0,5904.0,420278
2012-05-28,5940.0,5992.0,5916.0,5989.0,381418
2012-05-29,5933.0,5982.0,5922.0,5962.0,349920
2012-05-30,5817.0,5855.0,5798.0,5801.0,349610
2012-05-31,5836.0,5878.0,5826.0,5851.0,365958
2012-06-01,5800.0,5840.0,5771.0,5832.0,296984
2012-06-04,5923.0,5998.0,5901.0,5947.0,393532
2012-06-05,5954.0,5985.0,5921.0,5931.0,323394
2012-06-06,6001.0,6092.0,5991.0,6088.0,343846
2012-06-07,6145.0,6154.0,6110.0,6133.0,272726
2012-06-08,6005.0,6023.0,5905.0,5935.0,316480
2012-06-11,6054.0,6099.0,6031.0,6063.0,207094
2012-06-12,5992.0,6038.0,5978.0,5988.0,243702
2012-06-13,6050.0,6083.0,6040.0,6081.0,184636
2012-06-14,6068.0,6128.0,6061.0,6080.0,189246
2012-06-15,6050.0,6085.0,6032.0,6070.0,208546
2012-06-18,6087.0,6095.0,6003.0,6010.0,309918
2012-06-19,6058.0,6080.0,6045.0,6063.0,168258
2012-06-20,5996.0,6029.0,5990.0,6010.0,175782
2012-06-21,5900.0,5925.0,5893.0,5911.0,141540
2012-06-25,5700.0,5742.0,5691.0,5716.0,162514
2012-06-26,5830.0,5830.0,5783.0,5791.0,139496
2012-06-27,5767.0,5771.0,5725.0,5745.0,134318
2012-06-28,5778.0,5782.0,5733.0,5737.0,120318
2012-06-29,5651.0,5764.0,5632.0,5751.0,234654
2012-07-02,5831.0,5835.0,5785.0,5796.0,156980
2012-07-03,5820.0,5915.0,5810.0,5909.0,186102
2012-07-04,5952.0,5979.0,5932.0,5948.0,133860
2012-07-05,5960.0,5995.0,5944.0,5993.0,118224
2012-07-06,5929.0,5932.0,5864.0,5872.0,148200
2012-07-09,5790.0,5832.0,5782.0,5806.0,141584
2012-07-10,5813.0,5834.0,5795.0,5798.0,100886
2012-07-11,5755.0,5780.0,5750.0,5774.0,95358
2012-07-12,5774.0,5779.0,5728.0,5743.0,113558
2012-07-13,5770.0,5830.0,5764.0,5828.0,96844
2012-07-16,5810.0,5834.0,5787.0,5828.0,90630
2012-07-17,5845.0,5877.0,5812.0,5830.0,104858
2012-07-18,5835.0,5838.0,5780.0,5811.0,76038
2012-07-19,5815.0,5828.0,5797.0,5822.0,64602
2012-07-20,5809.0,5811.0,5787.0,5799.0,61744
2012-07-23,5845.0,5845.0,5777.0,5790.0,76106
2012-07-24,5796.0,5822.0,5792.0,5794.0,63916
2012-07-25,5784.0,5817.0,5740.0,5745.0,81420
2012-07-26,5840.0,5886.0,5820.0,5872.0,100676
2012-07-27,5862.0,5932.0,5862.0,5926.0,83740
2012-07-30,5923.0,5925.0,5887.0,5893.0,66076
2012-07-31,5978.0,6044.0,5972.0,6022.0,124084
2012-08-01,5965.0,5992.0,5949.0,5990.0,76542
2012-08-02,5880.0,5910.0,5880.0,5896.0,67152
2012-08-03,5866.0,5868.0,5842.0,5862.0,54240
2012-08-06,5970.0,5972.0,5941.0,5950.0,48632
2012-08-07,5966.0,5974.0,5956.0,5966.0,38914
2012-08-08,5999.0,5999.0,5953.0,5955.0,56720
2012-08-09,5988.0,6022.0,5980.0,6020.0,70034
2012-08-10,6005.0,6006.0,5961.0,5975.0,56594
2012-08-13,6004.0,6024.0,5986.0,5994.0,78452
2012-08-14,5974.0,5980.0,5944.0,5975.0,62094
2012-08-15,5961.0,5969.0,5950.0,5953.0,42428
2012-08-16,5969.0,5978.0,5945.0,5951.0,40694
2012-08-17,6016.0,6037.0,6003.0,6030.0,58038
2012-08-20,6000.0,6034.0,5996.0,6019.0,53440
2012-08-21,6100.0,6158.0,6094.0,6149.0,119104
2012-08-22,6208.0,6266.0,6202.0,6260.0,112388
2012-08-23,6337.0,6565.0,6333.0,6524.0,418584
2012-08-24,6518.0,6548.0,6459.0,6487.0,313806
2012-08-27,6588.0,6708.0,6585.0,6632.0,469970
2012-08-28,6551.0,6575.0,6516.0,6566.0,226954
2012-08-29,6569.0,6624.0,6560.0,6620.0,305838
2012-08-30,6580.0,6587.0,6525.0,6572.0,251916
2012-08-31,6500.0,6504.0,6463.0,6494.0,208992
2012-09-03,6731.0,6849.0,6730.0,6821.0,309066
2012-09-04,6900.0,6932.0,6837.0,6876.0,270772
2012-09-05,6869.0,6904.0,6855.0,6877.0,198896
2012-09-06,6900.0,7072.0,6889.0,7043.0,504852
2012-09-07,6986.0,7006.0,6802.0,6874.0,566630
2012-09-10,7182.0,7272.0,7175.0,7213.0,382854
2012-09-11,7170.0,7195.0,7115.0,7188.0,361810
2012-09-12,7200.0,7220.0,7166.0,7182.0,283692
2012-09-13,7109.0,7123.0,7051.0,7056.0,261508
2012-09-14,7450.0,7506.0,7356.0,7384.0,421404
2012-09-17,7399.0,7405.0,7342.0,7352.0,225840
2012-09-18,7275.0,7295.0,7220.0,7289.0,251114
2012-09-19,7374.0,7438.0,7300.0,7434.0,387928
2012-09-20,7367.0,7405.0,7283.0,7306.0,382430
2012-09-21,7396.0,7419.0,7364.0,7409.0,305904
2012-09-24,7254.0,7258.0,7098.0,7165.0,333096
2012-09-25,7215.0,7220.0,7123.0,7159.0,223366
2012-09-26,7120.0,7193.0,7118.0,7150.0,214708
2012-09-27,7175.0,7237.0,7168.0,7234.0,264536
2012-09-28,7370.0,7405.0,7310.0,7378.0,228456
2012-10-08,7256.0,7264.0,7035.0,7105.0,325632
2012-10-09,7135.0,7163.0,7099.0,7105.0,203646
2012-10-10,7050.0,7091.0,7022.0,7080.0,206778
2012-10-11,7058.0,7140.0,7047.0,7120.0,251396
2012-10-12,7094.0,7143.0,7065.0,7080.0,226352
2012-10-15,6880.0,6924.0,6865.0,6884.0,203468
2012-10-16,6822.0,6873.0,6807.0,6865.0,204062
2012-10-17,6900.0,6906.0,6860.0,6863.0,147290
2012-10-18,6871.0,6915.0,6839.0,6883.0,182880
2012-10-19,6832.0,6848.0,6758.0,6759.0,199004
2012-10-22,6667.0,6749.0,6663.0,6748.0,161366
2012-10-23,6747.0,6770.0,6704.0,6717.0,190176
2012-10-24,6682.0,6739.0,6668.0,6738.0,211926
2012-10-25,6730.0,6833.0,6713.0,6806.0,368806
2012-10-26,6801.0,6829.0,6639.0,6679.0,344532
2012-10-29,6768.0,6780.0,6717.0,6723.0,237754
2012-10-30,6710.0,6724.0,6670.0,6708.0,195374
2012-10-31,6705.0,6730.0,6682.0,6719.0,152548
2012-11-01,6804.0,6914.0,6804.0,6907.0,179018
2012-11-02,6852.0,6860.0,6703.0,6751.0,253004
2012-11-05,6579.0,6606.0,6495.0,6520.0,268620
2012-11-06,6552.0,6580.0,6536.0,6569.0,167174
2012-11-07,6671.0,6785.0,6648.0,6752.0,358528
2012-11-08,6656.0,6712.0,6656.0,6681.0,206396
2012-11-09,6750.0,6809.0,6746.0,6775.0,260120
2012-11-12,6835.0,6848.0,6765.0,6819.0,250436
2012-11-13,6725.0,6741.0,6688.0,6732.0,187190
2012-11-14,6800.0,6818.0,6767.0,6817.0,181166
2012-11-15,6775.0,6809.0,6766.0,6783.0,173356
2012-11-16,6785.0,6796.0,6702.0,6728.0,215134
2012-11-19,6745.0,6805.0,6741.0,6788.0,189336
2012-11-20,6867.0,6907.0,6853.0,6885.0,217976
2012-11-21,6879.0,6879.0,6817.0,6844.0,159218
2012-11-22,6913.0,6938.0,6884.0,6884.0,149390
2012-11-23,6888.0,6933.0,6855.0,6926.0,157372
2012-11-26,7014.0,7045.0,6985.0,7036.0,225798
2012-11-27,7058.0,7073.0,7020.0,7029.0,203696
2012-11-28,7005.0,7012.0,6932.0,6967.0,208008
2012-11-29,6940.0,6944.0,6881.0,6883.0,200980
2012-11-30,6960.0,6990.0,6944.0,6982.0,210346
2012-12-03,6880.0,6880.0,6804.0,6815.0,237572
2012-12-04,6801.0,6801.0,6695.0,6716.0,251742
2012-12-05,6671.0,6743.0,6661.0,6737.0,222312
2012-12-06,6709.0,6718.0,6625.0,6640.0,242694
2012-12-07,6704.0,6722.0,6671.0,6691.0,166690
2012-12-10,6716.0,6756.0,6714.0,6742.0,135466
2012-12-11,6712.0,6714.0,6671.0,6711.0,124306
2012-12-12,6684.0,6724.0,6677.0,6709.0,127032
2012-12-13,6720.0,6720.0,6584.0,6600.0,182696
2012-12-14,6785.0,6870.0,6776.0,6830.0,211004
2012-12-17,6780.0,6841.0,6733.0,6782.0,268520
2012-12-18,6805.0,6881.0,6804.0,6875.0,295256
2012-12-19,6744.0,6750.0,6692.0,6709.0,246968
2012-12-20,6609.0,6629.0,6563.0,6604.0,233014
2012-12-21,6388.0,6393.0,6308.0,6334.0,345726
2012-12-24,6350.0,6418.0,6335.0,6402.0,262284
2012-12-25,6350.0,6380.0,6302.0,6319.0,244038
2012-12-26,6335.0,6355.0,6313.0,6327.0,210776
2012-12-27,6331.0,6396.0,6318.0,6359.0,277800
2012-12-28,6393.0,6443.0,6392.0,6417.0,229654
2012-12-31,6438.0,6458.0,6381.0,6427.0,208232
2013-01-04,6306.0,6307.0,6193.0,6226.0,258306
2013-01-07,6330.0,6433.0,6321.0,6392.0,288146
2013-01-08,6418.0,6420.0,6358.0,6370.0,195804
2013-01-09,6416.0,6438.0,6402.0,6429.0,174856
2013-01-10,6398.0,6427.0,6378.0,6425.0,142460
2013-01-11,6490.0,6515.0,6458.0,6469.0,208206
2013-01-14,6419.0,6492.0,6409.0,6479.0,172922
2013-01-15,6555.0,6592.0,6506.0,6545.0,264694
