date,open,high,low,close,volume,amount
2003-06-09,104.383,104.405,104.25,104.275,229320,247340235.0
2003-06-10,104.275,104.462,104.252,104.454,44386,48409091.0
2003-06-11,104.454,104.539,104.454,104.536,50994,55295734.0
2003-06-12,104.536,104.894,104.521,104.651,55508,60064866.0
2003-06-13,104.651,104.776,104.651,104.761,109450,121321229.0
2003-06-16,104.764,104.788,104.741,104.762,125644,139677097.0
2003-06-17,104.762,104.777,104.712,104.729,143468,158330146.0
2003-06-18,104.727,104.75,104.697,104.75,79638,88222332.0
2003-06-19,104.751,104.821,104.73,104.746,445754,480311402.0
2003-06-20,104.746,104.791,104.717,104.785,414426,445880283.0
2003-06-23,104.785,104.834,104.775,104.828,677198,735324305.0
2003-06-24,104.827,104.837,104.736,104.803,249430,268754676.0
2003-06-25,104.79,104.818,104.783,104.817,220610,238456257.0
2003-06-26,104.817,104.836,104.696,104.703,111440,125289994.0
2003-06-27,104.727,104.75,104.66,104.749,251514,267395629.0
2003-06-30,104.75,104.75,104.662,104.672,386796,412039532.0
2003-07-01,104.672,104.731,104.66,104.73,12922,14161507.0
2003-07-02,104.73,104.789,104.686,104.775,13144,14388636.0
2003-07-03,104.775,104.816,104.723,104.798,64380,70182979.0
2003-07-04,104.798,104.925,104.796,104.925,72128,78336195.0
2003-07-07,104.925,104.966,104.894,104.933,30100,32610053.0
2003-07-08,104.931,104.983,104.913,104.98,22104,24092303.0
2003-07-09,104.98,105.048,104.958,105.03,50682,55506479.0
2003-07-10,105.03,105.098,104.84,105.097,38270,41494200.0
2003-07-11,105.097,105.199,105.09,105.192,15952,17464463.0
2003-07-14,105.192,105.215,105.128,105.204,88488,96321616.0
2003-07-15,105.204,105.247,105.199,105.234,27476,30253518.0
2003-07-16,105.234,105.305,105.232,105.3,27384,29958896.0
2003-07-17,105.3,105.319,105.257,105.312,15100800,162829803.0
2003-07-18,105.312,105.323,105.197,105.202,7186400,77991200.0
2003-07-21,105.202,105.221,105.169,105.214,3220000,35543810.0
2003-07-22,105.214,105.233,105.159,105.186,2915800,32270044.0
2003-07-23,105.186,105.209,105.121,105.164,3375600,37083294.0
2003-07-24,105.164,105.226,105.121,105.219,10342200,110299744.0
2003-07-25,105.219,105.275,105.209,105.273,2298200,25100381.0
2003-07-28,105.273,105.338,105.233,105.299,8923600,98219131.0
2003-07-29,105.299,105.316,105.248,105.264,69188400,765298105.0
2003-07-30,105.353,105.362,105.236,105.299,7274000,80019965.0
2003-07-31,105.299,105.299,105.177,105.196,9282800,103151961.0
2003-08-01,105.196,105.233,105.175,105.218,4458800,48240143.0
2003-08-04,105.218,105.45,105.12,105.174,5543200,60376359.0
2003-08-05,105.175,105.217,105.16,105.211,46046200,509890385.0
2003-08-06,105.211,105.215,105.169,105.182,3820400,41518668.0
2003-08-07,105.182,105.206,105.167,105.179,4338000,47202140.0
2003-08-08,105.187,105.27,105.18,105.265,18407200,201410385.0
2003-08-11,105.266,105.276,105.144,105.171,5422800,59261855.0
2003-08-12,105.15,105.152,105.076,105.091,10602600,120739293.0
2003-08-13,105.091,105.164,105.006,105.008,23415200,265851858.0
2003-08-14,105.008,105.008,104.865,104.881,7789400,84800071.0
2003-08-15,104.881,104.91,104.807,104.879,3190400,35523854.0
2003-08-18,104.879,105.009,104.661,104.946,77262600,833808803.0
2003-08-19,104.946,104.981,104.912,104.979,9048200,97807510.0
2003-08-20,104.978,104.978,104.896,104.924,8513000,92048636.0
2003-08-21,104.923,105.009,104.786,104.84,5988000,64947101.0
2003-08-22,104.849,104.881,104.613,104.629,17744800,189041158.0
2003-08-25,104.629,104.629,104.147,104.148,3713000,39952551.0
2003-08-26,104.146,104.174,104.067,104.101,2310400,24976483.0
2003-08-27,104.096,104.262,104.027,104.229,6713000,73545164.0
2003-08-28,104.229,104.381,104.208,104.366,4995600,58777320.0
2003-08-29,104.366,104.399,104.346,104.381,1119800,12075636.0
2003-09-01,104.387,104.406,104.317,104.34,1976400,21167834.0
2003-09-02,104.34,104.392,104.334,104.379,1726000,18241248.0
2003-09-03,104.38,104.417,104.329,104.335,4399000,47490724.0
2003-09-04,104.335,104.391,103.962,103.967,69294200,734545036.0
2003-09-05,103.959,103.959,103.815,103.886,11016600,116923033.0
2003-09-08,103.886,103.886,103.759,103.772,1695000,18066418.0
2003-09-09,103.772,103.777,103.643,103.663,10633200,112804538.0
2003-09-10,103.663,103.696,103.515,103.529,11241600,119298844.0
2003-09-11,103.524,103.524,103.447,103.451,7840400,82967950.0
2003-09-12,103.443,103.453,103.346,103.369,6121000,65114518.0
2003-09-15,103.36,103.383,103.073,103.088,8344800,88750118.0
2003-09-16,103.087,103.087,102.478,102.531,20245200,222409396.0
2003-09-17,102.518,102.577,102.465,102.576,50145800,537294586.0
2003-09-18,102.534,102.803,102.534,102.682,11948600,125339239.0
2003-09-19,103.116,103.116,102.554,102.716,10289800,107882204.0
2003-09-22,102.716,102.791,102.53,102.53,9569200,100324077.0
2003-09-23,102.529,102.544,102.265,102.266,5504000,57467931.0
2003-09-24,102.257,102.293,101.602,101.602,11322200,117031892.0
2003-09-25,101.601,101.603,101.254,101.372,19723600,203047585.0
2003-09-26,101.369,101.412,101.232,101.336,4612400,47392848.0
2003-09-29,101.349,101.47,101.299,101.441,4504200,46448180.0
2003-09-30,101.447,101.727,101.412,101.727,7022200,72789703.0
2003-10-08,101.721,101.732,101.424,101.661,6710600,69098048.0
2003-10-09,101.645,101.664,101.485,101.544,5950600,61378380.0
2003-10-10,101.544,101.579,101.463,101.577,7649200,78833472.0
2003-10-13,101.563,101.563,101.329,101.339,6398400,66289922.0
2003-10-14,101.338,101.48,101.322,101.41,5062600,52228412.0
2003-10-15,101.411,101.44,101.286,101.286,5954200,61182005.0
2003-10-16,101.284,101.311,100.881,100.881,4569400,47129137.0
2003-10-17,100.917,101.009,99.851,100.088,6418400,65608850.0
2003-10-20,100.087,100.098,98.666,98.865,8768200,86963321.0
2003-10-21,98.833,99.144,98.666,99.056,10123000,100959313.0
2003-10-22,99.103,99.298,98.993,99.079,5955800,59426141.0
2003-10-23,99.068,99.256,98.957,99.235,4231000,43004905.0
2003-10-24,99.231,99.261,99.114,99.158,7661800,77327308.0
2003-10-27,99.248,99.248,99.127,99.144,32950600,331732759.0
2003-10-28,99.114,99.14,98.78,98.909,16064400,157723846.0
2003-10-29,98.907,98.978,98.843,98.974,22068600,216542146.0
2003-10-30,98.975,99.14,98.903,99.14,4153600,41361328.0
2003-10-31,99.141,99.421,99.062,99.139,1913800,19755146.0
2003-11-03,99.13,99.372,99.125,99.229,9127000,92351846.0
2003-11-04,99.23,99.429,99.162,99.235,6656800,65992190.0
2003-11-05,99.235,99.712,99.235,99.654,3232200,33176265.0
2003-11-06,99.601,100.064,99.601,99.938,5173600,52368089.0
2003-11-07,100.182,100.227,99.853,99.925,18797600,195230182.0
2003-11-10,99.925,100.076,99.643,99.855,3677200,37411153.0
2003-11-11,99.847,99.994,99.741,99.786,8187200,83980179.0
2003-11-12,99.786,99.897,99.687,99.811,9132200,93206941.0
2003-11-13,99.811,99.811,99.674,99.733,5989400,60532647.0
2003-11-14,99.713,99.749,99.683,99.727,10650800,106570643.0
2003-11-17,99.727,99.932,99.615,99.808,11071000,112023392.0
2003-11-18,99.809,99.93,99.71,99.77,6256000,63870706.0
2003-11-19,99.771,99.933,99.727,99.928,20661200,225468116.0
2003-11-20,99.932,99.986,99.82,99.871,7945600,79780500.0
2003-11-21,99.835,100.095,99.722,100.048,12053000,119618870.0
2003-11-24,99.97,100.01,99.603,99.7,5364000,54938569.0
2003-11-25,99.587,99.686,99.523,99.608,26670200,262348971.0
2003-11-26,99.609,99.691,99.571,99.685,30196800,299962814.0
2003-11-27,99.699,99.699,99.405,99.6,10424400,112442759.0
2003-11-28,99.603,99.665,99.557,99.664,8921000,92088346.0
2003-12-01,99.634,99.698,99.607,99.646,12118400,122001831.0
2003-12-02,99.646,99.678,99.579,99.668,11898000,117910210.0
2003-12-03,99.649,99.677,99.522,99.576,31074400,303811913.0
2003-12-04,99.576,99.586,99.507,99.566,22161600,217165754.0
2003-12-05,99.395,99.576,99.395,99.518,28527400,293709826.0
2003-12-08,99.504,99.538,99.415,99.429,2895600,32722110.0
2003-12-09,99.428,99.467,99.311,99.333,15077700,152073164.0
2003-12-10,99.303,99.341,99.276,99.329,25313400,255841232.0
2003-12-11,99.335,99.647,99.33,99.623,23261300,233079695.0
2003-12-12,99.634,100.128,99.5,99.529,13201800,145378323.0
2003-12-15,99.528,99.556,99.486,99.522,23566400,252514269.0
2003-12-16,99.522,99.555,99.405,99.448,19349200,220622679.0
2003-12-17,99.448,99.515,99.429,99.478,13470400,131975980.0
2003-12-18,99.478,99.546,99.203,99.359,16028800,157685616.0
2003-12-19,99.358,99.385,99.25,99.284,22190000,218383074.0
2003-12-22,99.284,99.375,99.223,99.304,15160300,146007070.0
2003-12-23,99.306,99.428,99.274,99.406,16955400,165673848.0
2003-12-24,99.407,99.582,99.383,99.571,14780800,150202339.0
2003-12-25,99.519,99.685,99.519,99.653,15902200,156423165.0
2003-12-26,99.676,99.747,99.57,99.656,19649400,195155535.0
2003-12-29,99.656,99.722,99.612,99.616,28430000,279025340.0
2003-12-30,99.616,99.646,99.578,99.636,6678500,68325686.0
2003-12-31,99.637,99.977,99.599,99.926,6280200,63296704.0
2004-01-02,99.987,99.987,99.661,99.703,2706000,26880930.0
2004-01-05,99.68,99.68,99.518,99.55,4138800,41444445.0
2004-01-06,99.558,99.582,99.462,99.526,2825200,28089974.0
2004-01-07,99.526,99.526,99.222,99.268,4555700,45444270.0
