日,信号
2021-01-04,0.24095802
2021-01-05,-0.03328869
2021-01-06,-0.022853464
2021-01-07,0.11656733
2021-01-08,0.019929865
2021-01-11,0.22127083
2021-01-12,-0.014500499
2021-01-13,0.1635154
2021-01-14,0.18422998
2021-01-15,0.31244436
2021-01-18,0.11638504
2021-01-19,0.063742146
2021-01-20,0.09935856
2021-01-21,0.09148169
2021-01-22,-0.14959964
2021-01-25,0.11619196
2021-01-26,0.07561213
2021-01-27,-0.046581723
2021-01-28,0.12159379
2021-01-29,0.062311076
2021-02-01,0.032591373
2021-02-02,0.018332627
2021-02-03,0.057707857
2021-02-04,0.25661656
2021-02-05,0.29587325
2021-02-08,0.27112687
2021-02-09,0.021792796
2021-02-10,-0.008186797
2021-02-18,0.25780696
2021-02-19,-0.03744366
2021-02-22,0.15692888
2021-02-23,-0.05224908
2021-02-24,0.17248413
2021-02-25,0.010108344
2021-02-26,0.22090602
2021-03-01,0.056978066
2021-03-02,0.11183065
2021-03-03,0.10442905
2021-03-04,0.15117472
2021-03-05,0.28584948
2021-03-08,0.3777123
2021-03-09,-0.0100275595
2021-03-10,0.23920564
2021-03-11,0.078681365
2021-03-12,-0.02993245
2021-03-15,0.15394433
2021-03-16,0.00840358
2021-03-17,0.024858782
2021-03-18,0.18788306
2021-03-19,0.30679
2021-03-22,0.05508231
2021-03-23,0.02538534
2021-03-24,0.21763289
2021-03-25,-0.002259232
2021-03-26,0.15953735
2021-03-29,0.10115999
2021-03-30,-0.049028017
2021-03-31,0.0783547
2021-04-01,0.057326846
2021-04-02,0.117885135
2021-04-06,0.14626968
2021-04-07,-0.10070989
2021-04-08,0.091968715
2021-04-09,0.0031305247
2021-04-12,0.024073238
2021-04-13,0.1350784
2021-04-14,-0.027421366
2021-04-15,0.029470485
2021-04-16,-0.011420615
2021-04-19,0.19522503
2021-04-20,0.06999035
2021-04-21,0.10387955
2021-04-22,0.07231115
2021-04-23,0.18610632
2021-04-26,0.30372137
2021-04-27,0.05008179
2021-04-28,0.17360863
2021-04-29,-0.02625832
2021-04-30,0.26635057
2021-05-06,0.018550327
2021-05-07,0.1357091
2021-05-10,0.23270857
2021-05-11,-0.20870566
2021-05-12,0.09297653
2021-05-13,0.26685548
2021-05-14,0.10691544
2021-05-17,0.24596119
2021-05-18,-0.018631542
2021-05-19,0.056169212
2021-05-20,-0.004008076
2021-05-21,-0.034132406
2021-05-24,0.10345874
2021-05-25,0.009330975
2021-05-26,0.10183938
2021-05-27,0.19807859
2021-05-28,0.0044711353
2021-05-31,0.13759789
2021-06-01,0.0431265
2021-06-02,-0.0040414087
2021-06-03,-0.010039493
2021-06-04,-0.061160587
2021-06-07,0.109295405
2021-06-08,0.17700675
2021-06-09,0.096675605
2021-06-10,-0.0049683503
2021-06-11,0.17974584
2021-06-15,0.01914956
2021-06-16,0.23885603
2021-06-17,0.024469744
2021-06-18,0.076272085
2021-06-21,0.12436203
2021-06-22,0.054048885
2021-06-23,0.09041528
2021-06-24,0.16199818
2021-06-25,-0.09584381
2021-06-28,0.1545693
2021-06-29,0.058570363
2021-06-30,-0.08372091
2021-07-01,-0.004171759
2021-07-02,0.12654006
2021-07-05,0.20813656
2021-07-06,0.047398884
2021-07-07,0.16457966
2021-07-08,0.14792533
2021-07-09,-0.02705884
2021-07-12,0.21095808
2021-07-13,0.14602682
2021-07-14,-0.0030880994
2021-07-15,0.079939626
2021-07-16,0.098784015
2021-07-19,-0.043186642
2021-07-20,0.00978526
2021-07-21,0.070953645
2021-07-22,0.021479117
2021-07-23,0.17538223
2021-07-26,0.19997773
2021-07-27,0.3092206
2021-07-28,0.16950662
2021-07-29,0.09628695
2021-07-30,0.25584653
2021-08-02,0.1750231
2021-08-03,0.35505253
2021-08-04,0.026629785
2021-08-05,-0.006964018
2021-08-06,0.04575173
2021-08-09,0.06592502
2021-08-10,0.01593995
2021-08-11,0.20252278
2021-08-12,-0.039773814
2021-08-13,0.0947372
2021-08-16,0.18153617
2021-08-17,0.162536
2021-08-18,-0.1557277
2021-08-19,-0.07263677
2021-08-20,0.32546967
2021-08-23,0.08316745
2021-08-24,-0.004889995
2021-08-25,0.012056622
2021-08-26,0.183632
2021-08-27,0.015097709
