日,hs300,zz500,zz1000,cyb,kc50,hongli
2021-01-04,0.5760747,0.64016676,0.69981134,0.81536496,0.70326185,-0.3666765
2021-01-05,-0.48650628,-0.49477464,-0.49118108,-0.52062845,-0.29604703,-0.7592071
2021-01-06,-0.4226933,-0.41012445,-0.33390728,-0.58647674,-0.020377604,-0.11703326
2021-01-07,0.3895565,0.39363506,0.4405759,0.45553392,-0.1877785,0.35379338
2021-01-08,0.16895497,-0.035325073,0.08149707,-0.084419124,-0.09807075,-0.26530716
2021-01-11,0.5362203,0.5802146,0.48275238,0.5226194,0.5948161,0.27875537
2021-01-12,0.52518857,-0.18531233,-0.11098759,0.1641423,0.08218273,0.46463114
2021-01-13,0.68055695,0.5610945,0.5293919,0.5777481,0.3620229,0.6569133
2021-01-14,0.4941918,0.3830145,0.31341773,0.267721,0.4714597,0.4136757
2021-01-15,0.6312688,0.588158,0.62697625,0.5038004,0.7646698,0.70068157
2021-01-18,0.27677047,0.7129119,0.6416186,0.41992694,0.5798589,0.116114095
2021-01-19,0.043581404,0.04632777,0.31313902,0.025999147,-0.25042748,0.6018108
2021-01-20,0.683225,0.59495264,0.4626181,0.59593296,0.5749657,0.18761574
2021-01-21,0.27376834,0.5624114,0.61092925,0.22053763,-0.100437954,0.3833267
2021-01-22,-0.5864768,-0.69432384,-0.6641925,-0.617444,-0.58289886,-0.5993675
2021-01-25,0.18617424,0.489904,0.33928034,0.19671552,0.46487632,0.4382085
2021-01-26,-0.011322108,-0.08366678,-0.14865808,-0.30826545,-0.14003867,0.47099847
2021-01-27,-0.36588955,-0.13977739,-0.1805304,-0.29345497,-0.26219594,-0.2368077
2021-01-28,-0.30805033,0.18414915,0.4134051,-0.15042952,0.2057868,0.3296629
2021-01-29,0.47476682,0.28242812,0.115783975,0.4269709,0.2827879,0.2745628
2021-02-01,-0.20247765,-0.27736515,-0.1821113,-0.1763984,0.08826223,-0.26185
2021-02-02,-0.14854762,-0.36773753,-0.0060623526,0.30128947,-0.33493248,-0.36226767
2021-02-03,0.5594274,0.28694373,0.09682125,0.30666736,-0.3198877,0.13997953
2021-02-04,0.53605664,0.5875584,0.489122,0.6504904,0.582835,0.34096345
2021-02-05,0.74803746,0.7710395,0.75743353,0.6479352,0.28682867,0.5385257
2021-02-08,0.3919213,0.5652557,0.621027,0.41509676,0.61161864,0.4984866
