日,hs300,zz500,zz1000,cyb,kc50,hongli
2021-01-04,0.041483082,0.02085105,0.055872522,0.25764185,0.04092999,-0.093085356
2021-01-05,-0.052369557,-0.06935697,0.0047663683,-0.1273506,-0.008127397,-0.4091704
2021-01-06,0.023682594,-0.1036737,-0.09946995,-0.079337455,0.038211036,0.0021943809
2021-01-07,0.031248813,0.12736659,0.15332778,0.13059673,0.1100651,0.35282296
2021-01-08,0.08395899,0.20177269,0.30324587,0.0065436065,0.051160883,0.12043369
2021-01-11,0.3259608,0.22244123,0.26844984,0.19764952,0.11439588,0.3099861
2021-01-12,0.10915983,-0.1104746,0.021908963,0.08668188,0.12536155,0.109145984
2021-01-13,0.1738868,0.2379406,0.15898219,0.25487074,-0.03065933,0.069536984
2021-01-14,0.20444247,-0.09539682,-0.22649865,-0.10412928,0.13729557,0.19240546
2021-01-15,0.031013686,-0.053151526,0.049223192,0.012835523,0.16551931,0.15070035
2021-01-18,0.043402947,-0.03374883,0.017292192,0.015497783,-0.009248039,-0.114083946
2021-01-19,-0.041128956,-0.14219922,0.108544685,-0.10864457,-0.0142689105,0.17015189
2021-01-20,0.25957546,0.09728757,0.09426047,0.0782266,0.084057406,0.11038895
2021-01-21,-0.044339996,-0.017464316,-0.10088936,-0.15785238,-0.103360966,-0.11076311
2021-01-22,-0.17411777,-0.32232934,-0.19112955,-0.3098909,-0.30192697,-0.2588009
2021-01-25,-0.08213809,-0.015339117,0.032482326,0.039040342,0.062758505,0.03188289
2021-01-26,-0.017587978,0.026965339,0.10136721,0.052915763,0.11771736,0.01939084
2021-01-27,-0.13784526,0.015103253,0.08624508,-0.14854974,0.0070214183,0.2252957
2021-01-28,0.08490984,0.14449131,0.3471827,0.16291563,0.43070537,0.32649332
2021-01-29,0.117652595,0.18068323,0.041161146,0.17553559,-0.02412734,0.3684197
2021-02-01,-0.10147889,0.01459043,0.03725075,0.0017288238,0.0980442,0.020935472
2021-02-02,0.06265925,-0.22483806,-0.008445973,-0.16640559,-0.15684979,-0.034188885
2021-02-03,-0.07077053,-0.05332718,-0.17838207,0.051069938,0.004310795,-0.20406294
2021-02-04,0.20159256,0.015067315,-0.060812823,0.17642704,-0.09324273,-0.06501216
2021-02-05,0.25034788,0.2995334,0.22956154,0.26810667,0.1884248,0.25198013
2021-02-08,-0.10774203,0.05490456,0.37036765,-0.0031706304,0.14905958,-0.10000988
2021-02-09,-0.014895851,-0.20114627,-0.14471081,-0.05739355,-0.03965028,-0.24063282
2021-02-10,0.14870694,-0.024018602,-0.21400681,0.09429725,-0.058925487,-0.14799981
2021-02-18,0.1849734,0.17895919,0.22893342,0.19188099,0.32573503,-0.009898722
2021-02-19,-0.1964614,-0.26986545,-0.074981734,-0.2234354,-0.19551037,-0.1865542
2021-02-22,0.1389637,0.112360455,0.19883603,0.1675749,0.054865636,0.2670756
2021-02-23,0.16265334,-0.030965101,0.08007864,0.18657771,0.07739808,-0.014755225
2021-02-24,0.015722182,0.02554078,-0.023264032,0.014062284,-0.017449938,0.089397214
2021-02-25,0.23458466,0.27126628,0.1324692,0.2066027,0.017029347,0.044868458
2021-02-26,0.035947807,0.08373418,0.01261037,0.061576217,0.091615245,0.22623232
2021-03-01,0.21175149,0.036402408,0.12866893,0.08606515,-0.10519256,-0.14242853
2021-03-02,0.06879033,0.007959867,0.023424048,0.021915693,0.087202445,0.11687871
2021-03-03,0.11925952,-0.08600289,-0.118379734,0.08281343,0.13831188,-0.20311654
2021-03-04,0.17509018,0.20368342,0.13347653,0.080723755,0.067135416,0.29904944
2021-03-05,0.17018415,0.12496953,0.09284975,0.20827684,0.1188838,0.11110924
2021-03-08,0.039326467,0.27647385,0.20090315,0.0039061247,0.24594453,0.27950656
2021-03-09,0.2496578,0.24590492,0.31877905,0.32409912,0.38114563,0.09657904
2021-03-10,-0.088019505,0.07369615,-0.02056085,-0.06102447,-0.04233051,0.13969207
2021-03-11,0.045446567,0.12482192,-0.014938002,0.19821984,-0.22009328,-0.017407235
2021-03-12,-0.10468318,0.01036094,0.0069377124,-0.108887754,-0.056508303,0.14070383
2021-03-15,0.08957918,0.08458267,0.031412154,0.10917719,0.15895332,0.20714681
2021-03-16,0.09468236,0.051350433,-0.016007388,-0.10111512,-0.1161008,-0.04912127
2021-03-17,-9.247661e-05,0.028982196,-0.23068485,0.05710455,0.09646479,-0.13636978
2021-03-18,0.24543151,0.122422144,0.087668315,0.23380189,0.093966596,0.077807724
2021-03-19,0.13285664,0.2578184,0.20998521,0.10595038,0.20121655,0.10233252
2021-03-22,0.04107945,0.2141838,0.029445594,0.22129352,0.24646969,-0.034734223
2021-03-23,-0.22173281,-0.25878388,-0.2550197,-0.14339438,-0.09056373,-0.14738505
2021-03-24,0.039820332,0.075274125,0.10686471,0.011272781,0.09340403,-0.080834985
2021-03-25,-0.004571758,0.059993308,0.055912238,-0.102210835,0.08248981,0.12430084
2021-03-26,-0.12072842,-0.12099993,-0.13162741,-0.106100045,0.081194185,0.2619291
2021-03-29,0.12720153,0.2146867,0.1448147,0.24496134,-0.011886863,0.26501396
2021-03-30,0.15885046,0.01586623,-0.20499659,0.06646699,-0.09281206,-0.17906363
2021-03-31,-0.15843204,-0.22014432,-0.08371796,-0.11115476,-0.20936377,-0.08218499
2021-04-01,0.02588599,-0.021299928,-0.078737214,0.032893654,0.013821751,-0.04764849
2021-04-02,0.1851095,0.15057214,0.077623665,0.1669804,0.111983314,-0.03836024
2021-04-06,-0.052108478,0.09373826,-0.045541845,0.0050564916,0.041556735,0.07478528
2021-04-07,-0.24147049,-0.22701919,-0.2624917,-0.28085035,-0.30878016,-0.0017263889
2021-04-08,0.13256459,0.0606622,0.06850378,0.06477872,0.0044816183,0.16327679
2021-04-09,-0.03661405,0.049994253,0.13936742,-0.11099758,-0.070224784,0.07520557
2021-04-12,0.019189073,0.021210784,0.14282516,0.07873447,0.16357103,0.012228198
2021-04-13,0.17628825,0.10712302,0.030930614,0.2006021,0.046702374,0.16184966
2021-04-14,-0.050795265,0.16719913,0.15665878,-0.029364958,0.14502704,-0.014850634
2021-04-15,-0.119386,0.005133024,-0.004618129,0.056570522,-0.07012415,-0.0115337
2021-04-16,-0.07113851,-0.123667516,-0.3670618,-0.22050163,-0.03700651,0.11958245
2021-04-19,0.1095165,0.31282002,0.231679,0.14924853,-0.21398816,0.0065633
2021-04-20,0.0035752729,-0.023524722,0.032265298,0.0077569718,0.01737603,-9.590164e-05
2021-04-21,-0.11786617,-0.33973947,-0.20701751,-0.13704565,-0.34258658,-0.05810828
2021-04-22,0.07503083,0.07089619,-0.12385182,0.0038121298,0.025096977,0.4623478
2021-04-23,0.21109991,0.042274058,0.09722596,0.062887885,0.21017298,0.16608572
2021-04-26,0.14151134,0.37281594,0.34006256,0.24668261,0.1629914,0.14580797
2021-04-27,-0.16664349,-0.067803584,-0.19202828,-0.005156508,-0.2978594,-0.19082698
2021-04-28,0.21525565,0.1400756,0.14944708,-0.042517256,0.12043768,0.31690255
