日,hs300,zz500,zz1000,cyb,kc50,hongli
2021-01-04,0.08073257,0.09258721,0.13102296,0.41916928,0.10387318,-0.01666921
2021-01-05,-0.06719687,-0.10484904,-0.08910839,-0.16343573,-0.06892389,-0.52184
2021-01-06,-0.1307187,-0.1744964,-0.17197126,-0.14585988,0.005586815,-0.1309994
2021-01-07,0.06640059,0.16096045,0.20626946,0.18697341,0.0054916316,0.3983721
2021-01-08,0.16292122,0.108988784,0.11740656,-0.07046228,-0.11935858,0.18378183
2021-01-11,0.3292873,0.27763426,0.30990127,0.22751614,0.24598427,0.29008237
2021-01-12,0.3165038,-0.035895783,0.14591171,0.10366245,0.28080183,0.28315875
2021-01-13,0.2444288,0.30654728,0.1816166,0.2466515,0.07349987,0.09912775
2021-01-14,0.111557044,-0.14416812,-0.3586088,-0.18543732,0.048449263,0.24920821
2021-01-15,0.07611636,0.030405346,0.12327336,0.085404456,0.115838125,0.22496493
2021-01-18,0.25483856,0.29255137,0.37175566,0.22137623,0.09504683,0.14087637
2021-01-19,0.15237878,0.22491369,0.33410335,0.12310332,0.07781917,0.34374148
2021-01-20,0.32759395,0.24932106,0.17816156,0.26335955,0.2525839,0.15921076
2021-01-21,0.03371348,0.15945333,-0.02889346,0.012411641,-0.04654389,-0.07931112
2021-01-22,-0.13736533,-0.30660567,-0.21368058,-0.18659522,-0.31329352,-0.21165109
2021-01-25,0.14895608,0.2770218,0.24052973,0.102282025,0.25872126,0.2390174
2021-01-26,-0.068016216,-0.03987583,-0.04528209,0.020939577,0.052861113,0.08568258
2021-01-27,-0.0110651655,0.019565469,0.015028365,-0.032620937,-0.14905646,0.30843344
2021-01-28,-0.0070437877,0.17979233,0.3569912,0.041444667,0.3319561,0.26295456
2021-01-29,0.12784308,0.14289764,0.044225305,0.16517913,0.01108821,0.3193434
2021-02-01,0.12242284,0.14921775,0.15827608,0.109635614,0.252711,0.16459027
2021-02-02,0.1152964,-0.025115509,0.27240685,0.062351476,0.090927966,-0.06700042
2021-02-03,0.24128418,0.1933213,-0.006989771,0.21348536,0.1665035,-0.08107649
2021-02-04,-0.026715051,-0.045169342,-0.10174129,-0.02253506,-0.07742904,-0.13517949
2021-02-05,0.26060194,0.22498405,0.24928105,0.2698714,0.28476745,0.25960657
2021-02-08,-0.06037411,0.1389523,0.2781623,0.07324521,0.23224099,0.02467146
2021-02-09,0.05613283,-0.01116358,0.14522621,-0.055267226,0.103942074,-0.14551319
2021-02-10,0.28710532,0.0016821504,-0.21048251,0.29450858,-0.059480727,0.06379248
2021-02-18,0.0840137,0.19730616,0.22780862,0.12714393,0.3215165,0.19069955
2021-02-19,-0.18006955,-0.28767177,-0.12778676,-0.22613123,-0.18757002,0.02646386
2021-02-22,0.23937663,0.21964094,0.32859242,0.22027656,0.22011518,0.40071958
2021-02-23,0.22916651,0.07707526,0.13180941,0.19806954,0.19808182,-0.022533152
2021-02-24,0.040692106,-0.018738274,0.060682405,0.008797417,0.12811784,-0.0029781095
2021-02-25,0.33290312,0.20549941,0.08120265,0.20745662,0.04819935,0.18324654
2021-02-26,0.18218648,0.18588783,0.17059381,0.16033052,0.22169642,0.19711907
2021-03-01,0.18995586,0.06302848,0.24928364,0.17102543,0.06242565,-0.04408554
2021-03-02,0.14686725,0.08116189,0.1947932,0.2242926,0.12941298,0.15530153
2021-03-03,0.2682353,0.0729344,0.0728433,0.18065815,0.21121605,0.12993714
2021-03-04,0.0974684,0.21164498,0.2845079,-0.0840552,-0.03583098,0.2877426
2021-03-05,0.13621567,0.17007297,0.10859966,0.13324934,0.09869331,0.012706587
2021-03-08,0.0068570348,0.056448244,0.10876938,-0.04728943,0.15631795,0.058918558
2021-03-09,0.0781458,0.024785915,0.059401684,0.17786367,0.19158971,-0.1325111
2021-03-10,0.13343172,0.14860559,0.10076344,0.08524142,0.08010475,0.20203714
2021-03-11,0.15420303,0.083307736,0.17644575,0.2310911,-0.14663424,0.056001127
2021-03-12,-0.16951111,-0.22525243,-0.29309115,-0.21010554,-0.14991727,0.022274053
2021-03-15,0.21621306,0.2456249,0.20486084,0.2189614,0.2696808,0.30904606
2021-03-16,0.06071313,0.063401975,-0.015658662,-0.050403982,-0.096837625,-0.032584507
2021-03-17,0.1773065,0.06949272,-0.11211095,0.11079836,0.13087437,-0.13608368
2021-03-18,0.23552832,0.13825788,0.16827735,0.21247463,0.13783509,0.31611234
2021-03-19,0.11529307,0.3067352,0.2923421,0.11999036,0.31087452,0.2686809
2021-03-22,0.017964104,0.20735356,0.15202835,0.10853753,0.19699045,-0.0045159757
2021-03-23,-0.03314339,-0.12947255,-0.08084261,-0.0130901635,-0.07335436,-0.0965472
2021-03-24,0.14524016,0.17432283,0.1605816,0.15677217,0.18113315,-0.016470322
2021-03-25,0.02859508,0.18515089,0.055125605,0.01827336,0.16824399,0.20711465
2021-03-26,-0.1266519,-0.14237979,0.07190711,-0.03471933,0.19747987,0.42345104
2021-03-29,-0.063154355,0.122876264,0.13321689,-0.0057644607,0.1771288,0.3595663
2021-03-30,0.21408944,0.12159951,-0.08946308,0.1670627,0.07347742,-0.19837768
2021-03-31,-0.23118159,-0.3320219,-0.26001164,-0.1377914,-0.10457714,-0.22275653
2021-04-01,0.15551862,0.090576425,0.06552004,0.10599963,0.24978371,-0.00037443638
2021-04-02,0.2926462,0.22962484,0.20818862,0.274966,0.19380745,0.093834475
2021-04-06,-0.02751343,0.076611385,0.15164557,-0.074612245,-0.025766408,0.16589607
2021-04-07,-0.2098783,-0.17798534,-0.15152511,-0.20321655,-0.23247862,0.023287112
2021-04-08,0.034364846,0.086360045,0.14080444,0.106216356,0.11061563,0.0086700395
2021-04-09,-0.09650072,-0.031495493,0.1055112,-0.14314887,-0.1617151,0.2052095
2021-04-12,0.08641662,0.19796184,0.21209362,0.14844398,0.21059024,0.19462773
2021-04-13,0.27055293,0.14194018,0.044957925,0.3017203,-0.03438726,0.08484797
2021-04-14,-0.1264147,0.19599554,0.25644338,0.07901653,0.15246017,0.014232767
2021-04-15,-0.10901775,-0.054689445,-0.14410794,0.056013115,0.053146888,-0.055666827
2021-04-16,-0.058773678,0.005373998,-0.060146946,-0.09932105,-0.022226864,0.3816731
2021-04-19,0.4763759,0.51234996,0.5382568,0.4769267,0.102515854,0.25072217
2021-04-20,0.13512385,0.15399547,0.29223406,0.0750438,0.05739727,0.22893259
2021-04-21,-0.05659219,-0.12168671,-0.11517046,-0.1840073,-0.2186108,0.0726686
2021-04-22,-0.007726887,0.18424466,0.048780464,0.068023145,0.11426158,0.34337005
2021-04-23,0.20388174,0.14411108,0.028762544,0.17398462,0.33969003,0.08709898
2021-04-26,0.40012756,0.46923652,0.39209905,0.4274393,0.35033426,0.35382795
2021-04-27,-0.055223107,-0.007321453,-0.21249351,0.01892683,-0.3007387,-0.20793256
2021-04-28,0.222087,0.33933175,0.21981132,0.1509549,0.23971733,0.36240292
2021-04-29,-0.08924843,-0.009298992,-0.14171804,0.03604449,0.19913049,0.16327663
2021-04-30,0.18395706,0.08170257,0.13130395,0.269287,0.12561128,-0.11439159
2021-05-06,-0.075698376,-0.3409862,-0.40615717,-0.23037727,-0.15505783,-0.03707712
2021-05-07,0.34964666,0.26148427,0.14648183,0.3235659,0.19213139,0.20324674
2021-05-10,0.2684996,0.22822627,0.22159076,0.30369097,0.2739599,0.05820795
2021-05-11,-0.2208178,-0.21646467,-0.22437851,-0.17679396,-0.11580849,-0.27169657
2021-05-12,-0.09784272,-0.18698536,0.18646967,-0.04641796,-0.018796701,-0.029164264
2021-05-13,-0.073227964,0.0974764,0.077579334,0.095537364,0.048401386,0.011231301
2021-05-14,0.23015328,0.05431565,0.11195201,0.23411818,0.005127537,0.11830287
2021-05-17,0.3714598,0.31610006,0.2012796,0.13541618,0.12345835,0.20043376
2021-05-18,0.017765954,0.06983755,0.021468414,-0.0791714,0.11983384,0.014713424
2021-05-19,0.21839273,0.061600078,0.08685182,0.27855238,0.18585637,0.16299705
2021-05-20,-0.06724213,-0.10781608,-0.08660853,-0.054350816,-0.043285817,-0.15543243
2021-05-21,-0.101490155,-0.21080682,-0.05463367,0.0047987937,0.08353752,0.14055008
2021-05-24,-0.16214246,-0.159204,0.040487785,-0.15955444,-0.1433402,-0.008595735
2021-05-25,0.30465978,-0.18171804,-0.12969176,0.38563046,0.33225158,-0.03679563
2021-05-26,0.14834803,-0.09635131,0.13947672,-0.0069163204,-0.043426946,0.34619513
2021-05-27,0.03241989,0.08216052,0.1498961,-0.041605853,0.34392208,0.055582248
2021-05-28,0.24732706,0.2853771,0.10261174,0.34625652,0.4233202,0.34136072
2021-05-31,0.109513305,0.24000797,0.17831963,0.28166062,0.25296703,0.19986442
2021-06-01,-0.31298965,-0.24103065,-0.04632904,-0.24903083,0.12220079,-0.20086043
2021-06-02,-0.12076179,0.069317974,0.085600995,0.014631997,0.17125387,0.081863806
2021-06-03,0.25080326,0.24160552,0.2551876,0.17312035,0.18464687,0.025026668
2021-06-04,0.060016938,0.032097723,0.04883338,0.21440549,0.053433944,0.12024476
2021-06-07,-0.09052594,0.12540321,0.15118875,-0.05045078,-0.022641907,0.006448564
2021-06-08,-0.04285643,-0.118515074,0.061763354,-0.003717041,-0.020561362,0.07553037
2021-06-09,-0.07918756,0.1706361,0.22420888,-0.19807999,0.23411505,0.38911247
2021-06-10,0.03156788,-0.028122324,0.11052898,0.13251987,-0.08171935,-0.023410317
2021-06-11,0.043784946,0.0008260906,0.13294497,-0.024759986,-0.071514904,0.33558148
2021-06-15,-0.3213113,-0.35075676,-0.30273882,-0.30868715,-0.1498797,-0.24332817
2021-06-16,0.20717716,0.34695935,0.23249474,0.019936943,0.001205644,0.2731968
2021-06-17,0.1915163,0.05635067,0.016837481,0.20494387,0.30705634,0.26468122
2021-06-18,0.15112008,0.07477634,0.21062675,0.09894924,0.13389716,0.1066692
