库,2018,2019,2020,2021,2022,2023,2024,2025,2026,年化,夏普,回撤,卡玛,后半夏普
h1_s42,31.7,42.7,41.2,9.0,9.6,17.9,9.6,64.0,12.9,27.0,1.25,-18.4,1.47,1.1
h2_s42,28.2,68.5,63.6,8.5,8.4,22.8,9.6,56.0,9.4,30.5,1.38,-17.5,1.74,1.06
h3_s42,16.8,44.3,61.2,9.2,22.2,25.0,15.1,54.0,10.6,29.4,1.33,-20.6,1.42,1.19
h4_s42,-9.2,71.0,61.1,17.1,-1.2,16.9,16.2,56.9,7.7,25.0,1.17,-19.0,1.31,0.94
h5_s42,39.7,67.2,81.7,17.2,21.5,10.0,17.3,61.7,14.3,37.0,1.64,-20.0,1.85,1.2
h6_s42,11.0,17.4,61.4,12.0,18.7,20.8,12.8,46.2,16.9,24.7,1.14,-22.1,1.12,1.14
h7_s42,19.1,66.5,32.0,1.0,-5.1,11.6,3.9,39.4,20.3,20.5,0.95,-24.6,0.83,0.79
h1_s137,21.7,48.9,46.9,13.2,15.0,22.0,9.6,71.1,6.8,28.6,1.32,-18.9,1.52,1.21
h2_s137,8.5,64.7,50.9,10.7,10.2,19.3,16.7,49.5,10.5,26.9,1.24,-19.7,1.37,1.07
h5_s137,32.8,69.3,63.7,20.6,-6.2,22.0,7.7,55.8,7.3,29.8,1.35,-20.2,1.47,0.81
h1_双种子,26.7,45.9,44.1,11.1,12.3,20.0,9.6,67.5,9.9,27.9,1.3,-18.6,1.5,1.17
h2_双种子,18.1,66.9,57.2,9.6,9.4,21.1,13.1,52.8,10.0,28.8,1.34,-18.6,1.55,1.07
h5_双种子,36.7,68.3,72.6,19.0,6.9,15.9,12.4,58.8,10.8,33.5,1.54,-20.1,1.67,1.02
h1h5_四库合奏,31.9,56.8,57.8,15.1,9.6,17.9,11.1,63.2,10.4,30.8,1.46,-19.3,1.59,1.11
持有512100,-35.3,34.0,30.3,24.7,-21.0,-7.0,6.9,25.5,2.8,4.3,0.2,-47.3,0.09,0.23
