,p六库,恐慌,仓位,收益,标的开→开,货基,库数
2015-01-05,0.21583961066779309,1,0.0,0.0,,0.0,4
2015-01-06,0.8744027815876412,1,0.0,0.00011975569837519018,,0.00011975569837519018,4
2015-01-07,-0.5816131231730276,1,0.0,4.989223277740429e-05,,4.989223277740429e-05,4
2015-01-08,-0.5075899777544678,1,0.0,0.00022949282086570655,,0.00022949282086570655,4
2015-01-09,0.06018648595310483,1,0.0,0.0,,0.0,4
2015-01-12,0.259773959361118,1,0.0,0.0,,0.0,4
2015-01-13,0.7088427072156517,1,0.0,0.00019951716845234557,,0.00019951716845234557,4
2015-01-14,-0.4880364006289109,1,0.0,0.0002692944485447324,,0.0002692944485447324,4
2015-01-15,-0.310047200751984,1,0.0,0.00022933721544760033,,0.00022933721544760033,4
2015-01-16,0.7154470108434177,1,0.0,0.00039875588164894893,,0.00039875588164894893,4
2015-01-19,0.9611971747873957,1,0.0,0.000468351403061229,,0.000468351403061229,4
2015-01-20,0.9611971747873957,1,0.0,0.0011952310281979628,,0.0011952310281979628,4
2015-01-21,0.7738299861662908,0,0.0,0.0,,0.0,4
2015-01-22,0.4330036324378924,0,0.0,0.0,,0.0,4
2015-01-23,0.08744320141802736,0,0.0,2.9871849764440128e-05,,2.9871849764440128e-05,4
2015-01-26,0.7098129792758525,0,0.0,6.969890074848273e-05,,6.969890074848273e-05,4
2015-01-27,-0.02245592246738809,0,0.0,0.00012943179442270747,,0.00012943179442270747,4
2015-01-28,-0.20295472248134644,0,0.0,0.00011946004061647031,,0.00011946004061647031,4
2015-01-29,-0.5609535526519249,0,0.0,0.00014930721452444118,,0.00014930721452444118,4
2015-01-30,-0.33731962750784317,0,0.0,0.0,,0.0,4
2015-02-02,-0.4808718066897312,0,0.0,0.00021901879579466765,,0.00021901879579466765,4
2015-02-03,6.938893903907228e-17,0,0.0,0.0003782223549317898,,0.0003782223549317898,4
2015-02-04,-0.6821859185943779,0,0.0,0.0003979782703864565,,0.0003979782703864565,4
2015-02-05,-0.53788553509774,0,0.0,0.0001591279786767874,,0.0001591279786767874,4
2015-02-06,0.625356768600762,0,0.0,5.9663497872008975e-05,,5.9663497872008975e-05,4
2015-02-09,-0.17969221339892427,0,0.0,0.0,,0.0,4
2015-02-10,0.4247908610108653,0,0.0,0.0,,0.0,4
2015-02-11,0.5157803129095068,0,0.0,0.0001392425206874215,,0.0001392425206874215,4
2015-02-12,0.12204836159330831,0,0.0,0.0008055052805344687,,0.0008055052805344687,4
2015-02-13,0.7054385145629556,0,0.0,0.0014308568248890818,,0.0014308568248890818,4
2015-02-16,0.8438153880081888,0,0.0,0.001031920065884151,,0.001031920065884151,4
2015-02-17,-0.2171640217700993,0,0.0,0.0,,0.0,4
2015-02-25,-0.5531592381756363,0,0.0,0.0,,0.0,4
2015-02-26,-0.06113825723211323,0,0.0,8.928837167787584e-05,,8.928837167787584e-05,4
2015-02-27,0.7255433549637135,0,0.0,5.952026665068111e-05,,5.952026665068111e-05,4
2015-03-02,0.8755348612810275,0,0.0,0.0002479863508313418,,0.0002479863508313418,4
2015-03-03,-0.11783033775872084,0,0.0,7.93359580311126e-05,,7.93359580311126e-05,4
2015-03-04,0.0,0,0.0,0.00011899449650454308,,0.00011899449650454308,4
2015-03-05,-0.8202206724186536,0,0.0,0.00010906531029086786,,0.00010906531029086786,4
2015-03-06,-0.17969221339892427,0,0.0,7.931157552443224e-05,,7.931157552443224e-05,4
2015-03-09,-0.10477366157523585,0,0.0,2.973948213669253e-05,,2.973948213669253e-05,4
