库,f,w,S,表达式,sign,w归,贡献
h1,28,0.04206646323740799,0.25,"neg(ts_std(volume,5))",-1.0,0.001148767236321846,0.0002871918090804615
h1,51,0.07347599563209808,0.5,"ts_std(ema(returns,10),3)",1.0,0.002006510886401826,0.001003255443200913
h1,52,0.10978959320168216,0.95,"ssqrt(ts_sum(mul(returns,returns),20))",1.0,0.0029981766436461524,0.0028482678114638447
h1,77,0.028835140935423744,-0.3500000000000001,"div(ts_min(returns,10),ts_max(open,40))",-1.0,0.0007874411731357789,-0.00027560441059752266
h1,108,0.00830794875575543,-0.55,"mul(ts_argmin(low,3),low)",-1.0,0.0002268766755548321,-0.00012478217155515765
h1,204,0.02697807433850559,0.675,"ts_min(returns,20)",-1.0,0.0007367276807709111,0.000497291184520365
h1,218,0.10999806707686453,-0.55,"ts_std(slog(ts_max(slog(open),3)),5)",1.0,0.003003869728802539,-0.0016521283508413966
h1,219,0.0018366037851456896,0.65,"add(open,ts_min(ts_max(high,244),244))",-1.0,5.015468599232914e-05,3.260054589501394e-05
h1,221,0.06560150944524755,0.19999999999999996,"ts_std(neg(ema(ts_mean(returns,3),10)),3)",1.0,0.0017914713742072607,0.00035829427484145206
h1,252,0.10874283007748937,0.0,"ts_std(ts_std(ts_std(close,3),5),5)",1.0,0.0029695912316880287,0.0
h1,313,0.09938796884020597,-0.75,"mul(ts_std(ts_tsi(open,244),3),abs(abs(mul(volume,ts_std(ret",1.0,0.002714125065467239,-0.002035593799100429
h1,316,0.033759296392994464,0.5,"ts_std(abs(slog(ts_mean(returns,244))),20)",1.0,0.0009219119135041388,0.0004609559567520694
h1,378,0.0573238478493433,0.3500000000000001,"div(ts_std(ts_decay_linear(returns,3),3),beta120)",1.0,0.0015654217921193057,0.0005478976272417571
h1,380,0.06152075924179901,0.6000000000000001,"ts_std(ssqrt(ema(returns,3)),3)",1.0,0.0016800326704855108,0.0010080196022913066
h1,415,0.08045735179194088,0.95,"ts_std(returns,40)",1.0,0.002197160458633734,0.002087302435702047
h1,416,0.11024235777608338,0.55,"ts_std(returns,10)",1.0,0.00301054091363253,0.0016557975024978915
h1,446,0.10545517664034948,1.0,"ts_std(ts_slope(ssqrt(close),10),40)",1.0,0.002879810720983989,0.002879810720983989
h1,448,0.03612796944960421,0.6000000000000001,"ts_decay_linear(ts_max(ts_slope(returns,3),3),40)",1.0,0.000986596552800648,0.0005919579316803889
h1,466,0.08313820294374201,-0.35,"ts_std(div(high,open),3)",1.0,0.0022703701780071987,-0.0007946295623025195
h1,467,0.08915639600166045,0.55,"ts_std(div(close,ts_max(mul(close,low),5)),3)",1.0,0.002434717319999597,0.0013390945259997785
h1,504,0.008429385108162185,-0.95,"mul(sub(high,low),ts_std(high,120))",1.0,0.00023019290640019732,-0.00021868326108018745
h1,524,0.04308311905326011,-0.050000000000000044,"ts_min(ts_decay_linear(returns,3),5)",-1.0,0.0011765304662676524,-5.8826523313382674e-05
h1,542,0.09475810633318553,0.95,"ema(ts_argmax(returns,40),60)",-1.0,0.00258769099073356,0.002458306441196882
h1,561,0.11024235777608338,0.55,"slog(ts_std(returns,10))",1.0,0.00301054091363253,0.0016557975024978915
h1,567,0.06323736156885396,-0.44999999999999996,"delta(abs(returns),60)",1.0,0.0017269103102810276,-0.0007771096396264624
h1,583,0.073574457455368,0.30000000000000004,"ts_min(ema(abs(returns),5),5)",1.0,0.0020091997199261145,0.0006027599159778344
h1,600,0.020740710641725054,0.1499999999999999,"div(ts_std(returns,3),ts_rank(ts_max(volume,60),20))",1.0,0.0005663953422653769,8.495930133980649e-05
h1,602,0.08404389086084837,-0.95,"div(ts_std(open,3),ts_rank(returns,20))",1.0,0.0022951030536861594,-0.0021803479010018513
h1,603,0.11346555032963042,0.30000000000000004,"ts_std(ema(ssqrt(open),20),3)",1.0,0.003098561101613979,0.0009295683304841938
h1,604,0.11850731816432021,-0.85,"div(ts_std(high,10),ts_rank(returns,20))",1.0,0.003236243646232623,-0.0027508070992977294
h1,623,0.05436626045347016,-0.6,"abs(ts_std(div(abs(entropy120),high),10))",1.0,0.001484654852437146,-0.0008907929114622875
h1,655,0.03592287919902989,-0.75,"ts_std(ts_std(returns,3),5)",1.0,0.0009809958689727927,-0.0007357469017295945
h1,658,0.15986336511788096,-0.85,"ts_std(ts_slope(neg(returns),3),3)",1.0,0.004365610560106931,-0.0037107689760908914
h1,663,0.08658209051522081,-0.7,"ts_std(ts_std(high,3),3)",1.0,0.002364417190834575,-0.0016550920335842024
h1,664,0.1732006867715595,-0.30000000000000004,"ts_std(ts_std(amount,3),3)",1.0,0.004729831294556673,-0.001418949388367002
h1,686,0.03320691215485946,-0.65,"ts_std(div(ts_std(returns,3),beta120),5)",1.0,0.0009068271912385929,-0.0005894376743050855
h1,688,0.1665914766680527,-0.9,"ts_std(div(ts_slope(returns,3),beta120),3)",1.0,0.004549344430661629,-0.004094409987595467
h1,717,0.09257187766543455,-0.55,"ts_std(ts_std(slog(slog(close)),3),10)",1.0,0.002527988613320796,-0.001390393737326438
h1,788,0.008112352151682971,0.02499999999999991,"delay(ts_max(ts_max(sub(low,ts_max(amount,20)),120),120),244",1.0,0.0002215352478948418,5.5383811973710255e-06
h1,789,0.003344560269218009,-1.0,"div(ts_std(delay(delay(close,120),244),40),sub(high,low))",-1.0,9.133454446830652e-05,-9.133454446830652e-05
h1,792,0.11314157325976781,1.0,"div(ts_sum(ts_std(open,40),5),abs(low))",1.0,0.003089713810576525,0.003089713810576525
h1,794,0.000553665045693653,-0.44999999999999996,"div(ts_min(high,40),sub(high,delay(close,120)))",1.0,1.5119699053375821e-05,-6.803864574019119e-06
h1,821,0.014917382378564817,0.4,"div(low,ts_sum(ts_rank(high,244),244))",-1.0,0.0004073696434013789,0.00016294785736055157
h1,822,0.037521378729112605,-1.0,"ts_max(div(low,high),5)",-1.0,0.0010246483119431336,-0.0010246483119431336
h1,826,0.0046801968265791265,-0.4,"div(ts_max(high,5),close)",1.0,0.00012780862378585972,-5.112344951434389e-05
h1,853,0.03339865308950748,-0.9,"ts_std(div(beta120,sub(entropy120,open)),3)",1.0,0.000912063326787766,-0.0008208569941089894
h1,895,0.05049116139597202,-0.8999999999999999,"delay(ssqrt(ssqrt(delay(low,20))),244)",-1.0,0.0013788321496909612,-0.001240948934721865
h1,896,0.037783509453882105,-0.8,"ts_std(high,5)",1.0,0.0010318066790858393,-0.0008254453432686715
h1,898,0.07054567682141646,0.3999999999999999,"ts_std(ts_decay_linear(abs(volume),5),5)",1.0,0.001926488607783091,0.0007705954431132362
h1,899,0.0822173085407879,-0.55,"ts_decay_linear(abs(ts_sum(ts_std(close,5),5)),5)",1.0,0.002245222037735566,-0.0012348721207545612
h1,900,0.10497018005698038,-0.050000000000000044,"ts_std(amount,5)",1.0,0.0028665662468393923,-0.00014332831234196975
h1,947,0.14746662701644786,-0.35,"mul(ts_corr(amount,close,244),ts_std(ts_std(amount,3),5))",1.0,0.004027075644827314,-0.0014094764756895598
h1,948,0.14401284383376248,-0.5,"mul(ts_corr(ts_std(amount,3),close,244),mul(ts_std(returns,5",1.0,0.003932758398824561,-0.0019663791994122804
h1,949,0.03359362001222431,-0.8,"mul(ts_corr(amount,close,244),ts_std(high,5))",1.0,0.0009173875588659318,-0.0007339100470927454
h1,950,0.09043199073777744,-0.19999999999999996,"mul(ts_corr(amount,close,244),ts_std(amount,5))",1.0,0.002469551754057099,-0.0004939103508114197
h1,951,0.07846277924695558,-0.55,"mul(mul(mul(ts_corr(amount,close,244),close),close),ts_std(r",1.0,0.002142691900694481,-0.0011784805453819648
h1,1035,0.08867989373771516,-0.09999999999999998,"div(ts_std(mul(ts_zscore(returns,3),ts_std(returns,5)),5),be",1.0,0.0024217048120127893,-0.00024217048120127888
h1,1036,0.10329325974905157,0.19999999999999996,"div(div(ts_std(returns,5),ts_min(beta120,3)),ts_min(beta120,",1.0,0.002820772258958845,0.0005641544517917688
h1,1037,0.06130668568189276,-0.85,"div(ts_std(mul(ts_zscore(returns,3),mul(ts_zscore(beta120,3)",1.0,0.001674186666974467,-0.001423058666928297
h1,1038,0.08541022160408562,0.050000000000000044,"div(ts_std(mul(ts_zscore(beta120,10),returns),5),ts_min(ts_m",1.0,0.0023324153416945897,0.00011662076708472959
h1,1071,0.03470627539875666,0.0,"ts_std(ts_std(add(high,ts_std(open,10)),20),10)",1.0,0.0009477723821906736,0.0
h1,1097,0.12880143583594905,-0.5,"ts_std(ema(amount,5),5)",1.0,0.003517359390175008,-0.001758679695087504
h1,1098,0.08605019979057181,-0.25,"ts_std(ssqrt(ema(ssqrt(ema(volume,5)),5)),3)",1.0,0.002349892113355827,-0.0005874730283389568
h1,1099,0.12771530201122538,0.25,"ts_sum(ts_std(ssqrt(ema(volume,5)),3),5)",1.0,0.0034876988279104355,0.0008719247069776089
h1,1118,0.10921912530298905,0.3999999999999999,"ts_std(mul(ts_std(returns,5),ts_std(open,20)),5)",1.0,0.002982598085788946,0.0011930392343155781
h1,1120,0.05259232380078977,-0.30000000000000004,"ts_std(abs(mul(entropy120,low)),10)",1.0,0.0014362115047183504,-0.0004308634514155052
h1,1121,0.031034223057692593,0.55,"ts_std(mul(ts_std(returns,20),ts_std(close,20)),5)",1.0,0.0008474945576522384,0.00046612200670873114
h1,1151,0.05645344744917356,0.3999999999999999,"ema(ema(ts_std(returns,3),3),3)",1.0,0.0015416525615910956,0.0006166610246364381
h1,1152,0.046670793246956443,-0.65,"ema(ts_std(ts_std(returns,3),5),3)",1.0,0.0012745040597465249,-0.0008284276388352412
h1,1153,0.16748215309730435,-0.44999999999999996,"ema(ts_std(abs(ts_std(low,5)),5),3)",1.0,0.004573667366828475,-0.0020581503150728132
h1,1154,0.13323937796674343,-0.19999999999999996,"ts_std(ema(add(amount,ts_std(returns,5)),3),5)",1.0,0.0036385524290995486,-0.0007277104858199096
h1,1197,0.031099229404367726,0.44999999999999996,"ema(sub(ts_std(returns,3),returns),20)",1.0,0.0008492697760914954,0.0003821713992411729
h1,1216,0.17922607923470582,0.55,"div(div(high,div(sub(close,ts_std(high,20)),open)),high)",1.0,0.004894375040689527,0.00269190627237924
h1,1236,0.10361300872313003,-0.42500000000000004,"ts_rank(ts_std(returns,40),5)",1.0,0.0028295040875225123,-0.0012025392371970678
