,年化,夏普,最大回撤,卡玛,均|仓|
熊增强·多空(定稿),26.1%,1.21,-18.6%,1.40,60.2%
熊增强·纯多(禁空),15.9%,0.92,-18.9%,0.84,30.0%
仅量价·多空,25.7%,1.19,-18.7%,1.38,60.3%
持有512100,3.3%,0.16,-47.3%,0.07,
,,,,,
2018·多空,38.3%,1.62,-9.4%,4.09,
2018·纯多,2.0%,-0.08,-11.2%,0.18,
2018·持有,-35.4%,-1.75,-41.3%,-0.86,
,,,,,
2019·多空,45.9%,2.28,-8.5%,5.42,
2019·纯多,38.2%,2.52,-5.3%,7.16,
2019·持有,34.0%,1.18,-19.3%,1.76,
,,,,,
2020·多空,46.6%,2.09,-7.4%,6.29,
2020·纯多,33.6%,2.32,-7.2%,4.69,
2020·持有,30.5%,0.98,-14.9%,2.05,
,,,,,
2021·多空,5.0%,0.24,-8.9%,0.56,
2021·纯多,15.3%,1.25,-7.7%,2.00,
2021·持有,24.8%,1.05,-10.6%,2.33,
,,,,,
2022·多空,7.8%,0.40,-10.3%,0.75,
2022·纯多,-2.3%,-0.32,-11.3%,-0.21,
2022·持有,-21.1%,-0.93,-34.7%,-0.61,
,,,,,
2023·多空,22.9%,1.67,-5.5%,4.16,
2023·纯多,5.8%,0.42,-7.1%,0.81,
2023·持有,-7.0%,-0.50,-19.5%,-0.36,
,,,,,
2024·多空,8.3%,0.34,-18.6%,0.45,
2024·纯多,13.6%,0.52,-18.9%,0.72,
2024·持有,6.9%,0.31,-28.3%,0.25,
,,,,,
2025·多空,56.7%,2.77,-4.6%,12.31,
2025·纯多,33.5%,2.59,-3.5%,9.50,
2025·持有,25.6%,1.06,-17.5%,1.46,
,,,,,
2026·多空,6.8%,0.36,-14.9%,0.46,
2026·纯多,7.1%,0.43,-14.2%,0.50,
2026·持有,-9.5%,-0.31,-21.8%,-0.44,
,,,,,
