编号,name,expr_str,kind,sign,专属,elder,admit_q,status,retire_q,yellow
0,元老:双均线20/120,元老:双均线20/120,elder,-1.0,,True,2013Q1,在役,,0
1,元老:年动量244,元老:年动量244,elder,-1.0,,True,2013Q1,在役,,0
2,元老:月动量20,元老:月动量20,elder,-1.0,,True,2013Q1,在役,,0
3,元老:通道位置60,元老:通道位置60,elder,-1.0,,True,2013Q1,在役,,0
4,元老:MACD12/26,元老:MACD12/26,elder,-1.0,,True,2013Q1,在役,,0
5,元老:距52周高点,元老:距52周高点,elder,-1.0,,True,2013Q1,在役,,0
6,元老:动量244扣20,元老:动量244扣20,elder,-1.0,,True,2013Q1,退役,2025Q1,0
7,元老:TSI_120,元老:TSI_120,elder,-1.0,,True,2013Q1,在役,,0
8,元老:ER_120,元老:ER_120,elder,-1.0,,True,2013Q1,在役,,0
9,元老:AR系数,元老:AR系数,argarch,-1.0,,True,2013Q1,退役,2015Q3,0
10,元老:GARCH预测波动,元老:GARCH预测波动,argarch,1.0,,True,2013Q1,退役,2019Q4,0
11,元老:标准化残差5日,元老:标准化残差5日,argarch,-1.0,,True,2013Q1,在役,,0
12,元老:风险调整预期,元老:风险调整预期,argarch,1.0,,True,2013Q1,退役,2016Q3,0
13,abs(returns),abs(returns),ga,1.0,,False,2015Q1,退役,2020Q4,0
14,returns,returns,ga,1.0,,False,2015Q1,退役,2016Q3,0
15,"sub(close,ts_decay_linear(amount,244))","sub(close,ts_decay_linear(amount,244))",ga,1.0,,False,2015Q1,退役,2024Q4,0
16,"ts_std(high,5)","ts_std(high,5)",ga,1.0,,False,2015Q1,在役,,0
17,"ts_std(sub(close,beta120),3)","ts_std(sub(close,beta120),3)",ga,1.0,,False,2015Q1,在役,,0
18,"ts_slope(sub(low,high),10)","ts_slope(sub(low,high),10)",ga,-1.0,,False,2015Q1,退役,2025Q2,0
19,"ts_std(abs(returns),5)","ts_std(abs(returns),5)",ga,1.0,,False,2015Q1,退役,2019Q1,0
20,"delay(ts_decay_linear(abs(returns),3),40)","delay(ts_decay_linear(abs(returns),3),40)",ga,1.0,,False,2015Q1,退役,2016Q1,0
21,"ts_sum(high,244)","ts_sum(high,244)",ga,-1.0,hs300,False,2015Q1,退役,2020Q1,0
22,"ts_er(delta(delay(high,60),40),40)","ts_er(delta(delay(high,60),40),40)",ga,1.0,hs300,False,2015Q1,退役,2020Q1,0
23,"slog(div(low,high))","slog(div(low,high))",ga,-1.0,zz500,False,2015Q1,在役,,0
24,"div(volume,delta(ts_decay_linear(mul(low,low),40),244))","div(volume,delta(ts_decay_linear(mul(low,low),40),244))",ga,1.0,zz500,False,2015Q1,退役,2020Q1,0
25,"add(ts_mean(ts_decay_linear(open,20),10),neg(ts_std(beta120,","add(ts_mean(ts_decay_linear(open,20),10),neg(ts_std(beta120,5)))",ga,-1.0,zz500,False,2015Q1,退役,2025Q1,0
26,"div(div(volume,ts_slope(close,20)),ts_min(open,244))","div(div(volume,ts_slope(close,20)),ts_min(open,244))",ga,1.0,zz500,False,2015Q1,退役,2021Q2,0
27,"slog(neg(ts_tsi(returns,5)))","slog(neg(ts_tsi(returns,5)))",ga,-1.0,zz500,False,2015Q1,退役,2022Q1,0
28,"ssqrt(ts_max(open,244))","ssqrt(ts_max(open,244))",ga,-1.0,zz1000,False,2015Q1,退役,2021Q4,0
29,"ts_min(abs(returns),5)","ts_min(abs(returns),5)",ga,1.0,zz1000,False,2015Q1,退役,2018Q3,0
30,"ts_corr(sub(open,low),ts_max(amount,120),244)","ts_corr(sub(open,low),ts_max(amount,120),244)",ga,1.0,zz1000,False,2015Q1,退役,2023Q1,0
31,"ts_std(high,3)","ts_std(high,3)",ga,1.0,zz1000,False,2015Q1,退役,2026Q1,0
32,"ts_max(mul(mul(returns,beta120),amount),244)","ts_max(mul(mul(returns,beta120),amount),244)",ga,-1.0,zz1000,False,2015Q1,退役,2016Q1,0
33,"ts_std(close,10)","ts_std(close,10)",ga,1.0,zz1000,False,2015Q1,退役,2025Q4,0
34,"ts_tsi(returns,244)","ts_tsi(returns,244)",ga,1.0,zz1000,False,2015Q1,退役,2016Q4,0
35,"abs(ssqrt(slog(ts_slope(open,3))))","abs(ssqrt(slog(ts_slope(open,3))))",ga,1.0,zz1000,False,2015Q1,退役,2022Q3,0
36,"delay(ts_std(beta120,40),40)","delay(ts_std(beta120,40),40)",ga,-1.0,zz1000,False,2015Q1,退役,2017Q4,0
37,"div(open,ts_rank(delta(delta(ts_rank(returns,5),5),5),120))","div(open,ts_rank(delta(delta(ts_rank(returns,5),5),5),120))",ga,-1.0,cyb,False,2015Q1,退役,2022Q2,0
38,"div(ts_rank(ts_rank(ts_rank(close,5),120),5),open)","div(ts_rank(ts_rank(ts_rank(close,5),120),5),open)",ga,1.0,cyb,False,2015Q1,退役,2021Q1,0
39,"ts_rank(ts_rank(delta(ts_rank(returns,5),5),5),120)","ts_rank(ts_rank(delta(ts_rank(returns,5),5),5),120)",ga,1.0,cyb,False,2015Q1,退役,2025Q4,0
40,"ts_rank(ts_zscore(div(close,low),5),120)","ts_rank(ts_zscore(div(close,low),5),120)",ga,1.0,cyb,False,2015Q1,退役,2016Q3,0
41,"delta(ts_rank(div(close,low),5),5)","delta(ts_rank(div(close,low),5),5)",ga,1.0,cyb,False,2015Q1,退役,2022Q2,0
42,"abs(div(mul(delta(ts_rank(returns,5),5),ts_rank(ts_rank(retu","abs(div(mul(delta(ts_rank(returns,5),5),ts_rank(ts_rank(returns,120),5)),open))",ga,1.0,cyb,False,2015Q1,退役,2023Q1,0
43,"div(ts_argmax(mul(returns,amount),40),ts_rank(delta(ts_rank(","div(ts_argmax(mul(returns,amount),40),ts_rank(delta(ts_rank(returns,5),5),120))",ga,-1.0,cyb,False,2015Q1,退役,2022Q2,0
44,"div(close,ts_rank(returns,3))","div(close,ts_rank(returns,3))",ga,-1.0,cyb,False,2015Q1,退役,2026Q3,0
45,"div(close,ts_rank(delta(ts_rank(returns,5),40),120))","div(close,ts_rank(delta(ts_rank(returns,5),40),120))",ga,-1.0,cyb,False,2015Q1,退役,2021Q1,0
46,"ts_rank(ts_tsi(ts_corr(volume,returns,3),3),120)","ts_rank(ts_tsi(ts_corr(volume,returns,3),3),120)",ga,1.0,cyb,False,2015Q1,退役,2026Q2,0
47,"ts_rank(ts_rank(ts_rank(returns,5),120),5)","ts_rank(ts_rank(ts_rank(returns,5),120),5)",ga,1.0,cyb,False,2015Q1,退役,2025Q4,0
48,"abs(div(ts_sum(returns,244),mul(returns,ts_std(open,5))))","abs(div(ts_sum(returns,244),mul(returns,ts_std(open,5))))",ga,-1.0,hongli,False,2015Q1,在役,,0
49,"delay(ts_sum(div(volume,open),5),40)","delay(ts_sum(div(volume,open),5),40)",ga,1.0,hongli,False,2015Q1,退役,2020Q2,0
50,"abs(div(ts_sum(amount,244),mul(returns,ts_tsi(open,5))))","abs(div(ts_sum(amount,244),mul(returns,ts_tsi(open,5))))",ga,-1.0,hongli,False,2015Q1,退役,2025Q4,0
51,"ts_decay_linear(abs(returns),10)","ts_decay_linear(abs(returns),10)",ga,1.0,,False,2015Q2,在役,,0
52,"ts_zscore(sub(high,low),244)","ts_zscore(sub(high,low),244)",ga,1.0,hs300,False,2015Q2,退役,2026Q1,0
53,"delay(open,244)","delay(open,244)",ga,-1.0,hs300,False,2015Q2,退役,2019Q3,0
54,"ts_std(div(volume,high),5)","ts_std(div(volume,high),5)",ga,1.0,zz500,False,2015Q2,在役,,0
55,"ssqrt(ts_argmax(volume,5))","ssqrt(ts_argmax(volume,5))",ga,-1.0,zz1000,False,2015Q2,退役,2024Q2,0
56,"ts_argmax(mul(ts_mean(close,3),div(low,volume)),60)","ts_argmax(mul(ts_mean(close,3),div(low,volume)),60)",ga,-1.0,zz1000,False,2015Q2,退役,2025Q1,0
57,"ts_std(amount,3)","ts_std(amount,3)",ga,1.0,zz1000,False,2015Q2,退役,2026Q2,0
58,"mul(ts_sum(beta120,10),open)","mul(ts_sum(beta120,10),open)",ga,-1.0,cyb,False,2015Q2,在役,,0
