date,open,high,low,close,volume,amount
2016-11-04,1.002,1.007,0.998,1.0,223992300.0,224852466.0
2016-11-07,0.999,1.003,0.996,0.998,23446900.0,23440744.0
2016-11-08,0.998,1.007,0.998,1.005,51134300.0,51338297.0
2016-11-09,1.004,1.006,0.98,0.998,12873300.0,12875264.0
2016-11-10,1.003,1.013,1.003,1.012,42887000.0,43268676.0
2016-11-11,1.011,1.015,1.008,1.015,13844000.0,14015826.0
2016-11-14,1.011,1.02,1.011,1.016,15377100.0,15637447.0
2016-11-15,1.015,1.024,1.015,1.024,17839400.0,18184134.0
2016-11-16,1.017,1.03,1.017,1.023,12579600.0,12907083.0
2016-11-17,1.019,1.023,1.015,1.02,6255700.0,6368497.0
2016-11-18,1.02,1.024,1.015,1.017,6626000.0,6754495.0
2016-11-21,1.015,1.022,1.015,1.02,8662200.0,8820110.0
2016-11-22,1.019,1.028,1.019,1.028,9130900.0,9342661.0
2016-11-23,1.027,1.029,1.021,1.023,7771900.0,7970302.0
2016-11-24,1.02,1.02,1.012,1.014,5026400.0,5115925.0
2016-11-25,1.013,1.014,0.984,1.013,5173500.0,5216981.0
2016-11-28,1.01,1.018,1.01,1.015,3339800.0,3393261.0
2016-11-29,1.015,1.015,1.008,1.008,4015400.0,4060796.0
2016-11-30,1.007,1.007,1.0,1.003,2118900.0,2125217.0
2016-12-01,1.003,1.005,1.0,1.004,1469900.0,1473037.0
2016-12-02,1.004,1.004,0.996,0.997,2761000.0,2758825.0
2016-12-05,0.989,0.999,0.986,0.991,2176700.0,2151978.0
2016-12-06,0.982,0.991,0.981,0.984,3143000.0,3095223.0
2016-12-07,0.987,0.995,0.983,0.995,1574500.0,1556866.0
2016-12-08,0.994,0.994,0.986,0.986,2363800.0,2345324.0
2016-12-09,0.988,0.99,0.983,0.985,1303000.0,1285443.0
2016-12-12,0.985,0.985,0.92,0.925,4106800.0,3892287.0
2016-12-13,0.929,0.95,0.91,0.929,2482200.0,2293228.0
2016-12-14,0.922,0.94,0.922,0.923,533100.0,494799.0
2016-12-15,0.923,0.94,0.917,0.935,1424100.0,1328618.0
2016-12-16,0.932,0.948,0.926,0.948,1184700.0,1113291.0
2016-12-19,0.94,0.944,0.933,0.935,1114700.0,1046481.0
2016-12-20,0.933,0.97,0.933,0.943,833700.0,789311.0
2016-12-21,0.938,0.949,0.937,0.949,880700.0,831646.0
2016-12-22,0.949,0.952,0.935,0.948,592300.0,560779.0
2016-12-23,0.953,0.953,0.939,0.94,588700.0,554180.0
2016-12-26,0.932,0.945,0.926,0.944,805200.0,751629.0
2016-12-27,0.944,0.945,0.933,0.943,861600.0,811894.0
2016-12-28,0.94,0.943,0.936,0.939,632100.0,594131.0
2016-12-29,0.934,0.943,0.934,0.935,183800.0,172386.0
2016-12-30,0.935,0.944,0.932,0.938,302900.0,283448.0
2017-01-03,0.938,0.945,0.938,0.944,1206800.0,1137820.0
2017-01-04,0.941,0.96,0.941,0.957,2047300.0,1946627.0
2017-01-05,0.952,0.964,0.952,0.954,1654200.0,1590980.0
2017-01-06,0.954,0.959,0.948,0.955,1729700.0,1650287.0
2017-01-09,0.946,0.96,0.946,0.959,797900.0,760892.0
2017-01-10,0.96,0.97,0.955,0.955,818000.0,784523.0
2017-01-11,0.951,0.961,0.941,0.95,416800.0,395290.0
2017-01-12,0.94,0.948,0.94,0.944,304200.0,286684.0
2017-01-13,0.944,0.95,0.93,0.935,492200.0,461907.0
2017-01-16,0.941,0.941,0.9,0.909,1193800.0,1097504.0
2017-01-17,0.909,0.919,0.907,0.915,636700.0,581616.0
2017-01-18,0.915,0.918,0.905,0.914,579000.0,526995.0
2017-01-19,0.914,0.914,0.882,0.905,1475800.0,1319669.0
2017-01-20,0.896,0.906,0.892,0.902,4195300.0,3768716.0
2017-01-23,0.905,0.916,0.902,0.912,3097700.0,2827492.0
