编号,name,kind,sign,专属,elder,admit_q,status,retire_q,yellow
0,"ts_decay_linear(abs(returns),5)",ga,1.0,,False,2015Q1,在役,,0
1,abs(returns),ga,1.0,,False,2015Q1,退役,2020Q4,0
2,returns,ga,1.0,,False,2015Q1,退役,2016Q3,0
3,"sub(close,ts_decay_linear(amount,244))",ga,1.0,,False,2015Q1,退役,2017Q4,0
4,"ts_slope(sub(low,high),10)",ga,-1.0,,False,2015Q1,退役,2015Q4,0
5,"ema(ts_argmin(slog(returns),10),244)",ga,-1.0,,False,2015Q1,退役,2015Q4,0
6,"ts_sum(high,244)",ga,-1.0,hs300,False,2015Q1,退役,2016Q2,0
7,"delay(delay(close,40),60)",ga,-1.0,hs300,False,2015Q1,退役,2024Q1,0
8,"slog(div(low,high))",ga,-1.0,zz500,False,2015Q1,在役,,0
9,"div(volume,delta(ts_decay_linear(mul(low,low),40),244))",ga,1.0,zz500,False,2015Q1,退役,2020Q1,0
10,"add(ts_mean(ts_decay_linear(open,20),10),neg(ts_std(beta120,",ga,-1.0,zz500,False,2015Q1,在役,,0
11,"div(div(volume,ts_slope(close,20)),ts_min(open,244))",ga,1.0,zz500,False,2015Q1,退役,2021Q2,0
12,"slog(neg(ts_tsi(returns,5)))",ga,-1.0,zz500,False,2015Q1,退役,2022Q1,0
13,"add(add(ts_max(ts_max(low,244),244),ts_max(delay(beta120,120",ga,-1.0,zz1000,False,2015Q1,在役,,0
14,"ts_corr(sub(open,low),ts_max(amount,120),244)",ga,1.0,zz1000,False,2015Q1,退役,2023Q1,0
15,"div(ts_max(delay(beta120,120),244),ssqrt(ts_slope(high,120))",ga,1.0,zz1000,False,2015Q1,退役,2023Q2,0
16,"add(ts_std(high,5),ts_zscore(open,120))",ga,1.0,zz1000,False,2015Q1,退役,2019Q1,0
17,"ts_tsi(returns,244)",ga,1.0,zz1000,False,2015Q1,退役,2016Q4,0
18,"mul(ts_max(delay(beta120,120),244),low)",ga,-1.0,zz1000,False,2015Q1,在役,,0
19,"ts_rank(ts_max(returns,20),244)",ga,1.0,zz1000,False,2015Q1,退役,2019Q3,0
20,"sub(amount,beta120)",ga,-1.0,zz1000,False,2015Q1,在役,,0
21,"div(close,ts_rank(div(close,low),120))",ga,-1.0,cyb,False,2015Q1,退役,2016Q4,0
22,"div(div(div(high,ts_rank(ts_zscore(returns,60),120)),ts_rank",ga,-1.0,cyb,False,2015Q1,退役,2017Q3,0
23,"div(ts_rank(ts_tsi(returns,40),60),open)",ga,1.0,cyb,False,2015Q1,退役,2024Q3,0
24,"div(amount,ts_rank(div(close,high),120))",ga,-1.0,cyb,False,2015Q1,退役,2016Q4,0
25,"div(high,ts_rank(ts_zscore(delta(ts_rank(close,3),120),60),5",ga,-1.0,cyb,False,2015Q1,退役,2017Q2,0
26,"div(close,ts_rank(returns,3))",ga,-1.0,cyb,False,2015Q1,退役,2026Q3,0
27,"div(div(close,ts_rank(div(close,low),120)),ts_zscore(div(clo",ga,1.0,cyb,False,2015Q1,退役,2017Q4,0
