date,y2,y5,y10,y30
2002-01-04,2.6563,2.8674,3.2096,4.46
2002-01-07,2.6697,2.8728,3.2003,4.3724
2002-01-08,2.1578,2.789,3.5225,2.4752
2002-01-09,2.1627,2.8317,3.5896,2.1569
2002-01-10,2.1559,2.8216,3.5784,2.1966
2002-01-11,2.1096,2.7234,3.4532,2.707
2002-01-14,1.9562,2.6768,3.5114,2.2714
2002-01-15,1.9937,2.6906,3.5023,2.3765
2002-01-16,1.9938,2.6576,3.4414,2.5444
2002-01-17,1.9763,2.655,3.4511,2.4472
2002-01-18,2.4434,2.8031,3.2968,3.9507
2002-01-21,2.429,2.7723,3.2563,4.09
2002-01-22,2.4531,2.8199,3.3182,3.8977
2002-01-23,2.5089,2.7785,3.1897,4.3568
2002-01-24,2.4092,2.7626,3.2581,4.0718
2002-01-25,2.4824,2.7051,3.0795,4.616
2002-01-28,2.4546,2.7323,3.1584,4.4025
2002-01-29,2.1719,2.9429,3.81,2.0557
2002-01-30,2.4178,2.7435,3.2152,4.2143
2002-01-31,2.4307,2.7524,3.2186,4.2093
2002-02-01,2.3604,2.7049,3.2016,4.2204
2002-02-04,2.3615,2.7197,3.218,3.9756
2002-02-05,2.326,2.681,3.1893,4.1812
2002-02-06,2.3832,2.7107,3.1897,4.271
2002-02-07,2.3342,2.731,3.2491,3.5314
2002-02-08,2.3256,2.7024,3.2085,3.7068
2002-02-09,2.3337,2.6984,3.1948,3.7861
2002-02-10,2.3555,2.7178,3.2084,3.7534
2002-02-11,2.383,2.7374,3.2173,3.7545
2002-02-19,2.3611,2.6976,3.1679,3.9172
2002-02-20,2.2773,2.6532,3.1647,3.7734
2002-02-21,2.3446,2.6842,3.1583,3.9061
2002-02-22,2.3544,2.7291,3.2237,3.5781
2002-02-25,2.2399,2.6331,3.1616,3.6918
2002-02-26,2.2136,2.6129,3.1512,3.7133
2002-02-27,2.21,2.61,3.1481,3.6946
2002-02-28,2.2004,2.5964,3.1315,3.7123
2002-03-01,2.2167,2.5959,3.1155,3.7903
2002-03-04,2.2648,2.6028,3.0828,3.9611
2002-03-05,2.2082,2.5751,3.085,3.8552
2002-03-06,2.0945,2.5175,3.0864,3.6601
2002-03-07,2.0814,2.5093,3.084,3.6497
2002-03-08,2.0587,2.4976,3.0656,3.2935
2002-03-11,2.0888,2.5222,3.073,3.1323
2002-03-12,2.0618,2.4684,3.0044,3.3763
2002-03-13,2.0749,2.4664,2.9872,3.4235
2002-03-14,2.0596,2.4546,2.9798,3.4167
2002-03-15,2.098,2.4982,3.0188,3.2722
2002-03-18,2.2199,2.5604,3.0232,3.5665
2002-03-19,2.2221,2.5178,2.9442,3.8201
2002-03-20,2.2469,2.5676,3.0009,3.4695
2002-03-21,2.064,2.4446,2.9508,3.3746
2002-03-22,2.054,2.4405,2.9468,3.2474
2002-03-25,1.9926,2.3931,2.9166,3.2109
2002-03-26,2.0233,2.4026,2.9052,3.2951
2002-03-27,1.9602,2.4629,3.0714,2.6409
2002-03-28,2.0313,2.4856,3.0536,2.9604
2002-03-29,2.0114,2.3792,2.8551,3.0432
2002-04-01,2.0158,2.3167,2.7433,3.514
2002-04-02,2.0207,2.2498,2.7048,5.4377
2002-04-03,2.0689,2.4495,2.9179,2.7164
2002-04-04,1.9695,2.2985,2.7323,3.0381
2002-04-05,2.0067,2.6059,3.2699,1.7409
2002-04-08,1.9803,2.3066,2.7346,2.9983
2002-04-09,1.9778,2.3427,2.7982,2.7108
2002-04-10,2.0056,2.3097,2.7158,3.0818
2002-04-11,1.9872,2.273,2.6737,3.3297
2002-04-12,2.0565,2.3111,2.6736,3.3509
2002-04-15,2.0133,2.2687,2.6374,3.3989
2002-04-16,2.0209,2.2343,2.5653,3.5825
2002-04-17,1.9779,2.2266,2.6181,3.8966
2002-04-18,1.9808,2.1763,2.5275,4.2481
2002-04-19,2.075,2.2726,2.58,3.5369
2002-04-22,1.9866,2.2312,2.5865,3.3542
2002-04-23,1.9827,2.1951,2.5637,4.2216
2002-04-24,1.9914,2.2515,2.605,3.0176
2002-04-25,1.9413,2.1929,2.5478,3.1625
2002-04-26,4.0282,2.8926,1.9775,10.5366
2002-04-27,1.9939,2.2718,2.6304,2.7586
2002-04-28,1.6026,2.542,3.5186,0.0637
2002-04-29,1.9399,2.1895,2.5363,3.0567
2002-04-30,2.0001,2.1998,2.5022,3.3321
2002-05-08,1.9818,2.2109,2.5363,3.1324
2002-05-09,1.9441,2.1801,2.5192,3.1961
2002-05-10,1.9912,2.118,2.4972,6.1136
2002-05-13,1.9431,2.1751,2.5072,3.1507
2002-05-14,1.9757,2.2145,2.5447,3.0191
2002-05-15,1.9465,2.1761,2.5035,3.1202
2002-05-16,1.9545,2.1704,2.4959,3.3695
2002-05-17,1.9859,2.2211,2.5423,2.9396
2002-05-20,1.926,2.1561,2.4837,3.0925
2002-05-21,1.9469,2.1564,2.4961,3.737
2002-05-22,1.9823,2.2202,2.5476,2.9937
2002-05-23,2.0405,2.2626,2.5547,2.7458
2002-05-24,2.0109,2.214,2.4983,2.9573
2002-05-27,1.9272,2.1492,2.4462,2.7204
2002-05-28,1.9205,2.1316,2.4178,2.7403
2002-05-29,1.9252,2.1367,2.4199,2.686
2002-05-30,1.9178,2.1157,2.3924,2.8361
2002-05-31,1.9204,2.1115,2.381,2.8481
2002-06-03,1.924,2.0866,2.3353,3.0519
2002-06-04,1.7843,2.2055,2.7385,2.7578
2002-06-05,1.7808,2.2371,2.8028,2.6287
2002-06-06,1.8968,2.1057,2.4016,2.9321
2002-06-07,1.8504,2.2054,2.6786,3.0907
2002-06-10,1.9378,2.1457,2.4376,2.9225
2002-06-11,1.9387,2.1668,2.4831,2.9502
2002-06-12,1.9422,2.1463,2.4339,2.9275
2002-06-13,1.9324,2.1405,2.4341,2.9442
2002-06-14,1.9039,2.1349,2.4564,2.9475
2002-06-17,1.9091,2.1329,2.4467,2.9602
2002-06-18,1.949,2.1216,2.3741,2.9463
2002-06-19,1.9024,2.1469,2.4818,2.9138
2002-06-20,1.9062,2.1337,2.4517,2.9605
2002-06-21,1.8984,2.1336,2.4606,2.9554
2002-06-24,1.9071,2.1547,2.4936,2.9275
2002-06-25,1.7941,2.1877,2.7081,3.0966
2002-06-26,1.9178,2.2537,2.6982,3.0335
2002-06-27,1.9354,2.215,2.5912,2.9724
2002-06-28,1.8927,2.1843,2.5798,3.032
2002-07-01,1.9242,2.2006,2.5719,2.9418
2002-07-02,1.9269,2.1808,2.5258,2.9288
2002-07-03,1.9231,2.224,2.6252,2.9766
2002-07-04,1.8961,2.1597,2.5196,2.9664
2002-07-05,1.8479,2.1723,2.6093,3.0612
2002-07-08,1.8589,2.1407,2.5264,3.0216
2002-07-09,1.8842,2.1494,2.5154,3.0289
2002-07-10,1.8347,2.1591,2.5941,3.0149
2002-07-11,1.8715,2.1692,2.5707,2.9965
2002-07-12,1.9815,2.2228,2.5536,2.9832
2002-07-15,1.7642,2.2329,2.8396,3.0855
2002-07-16,1.87,2.2305,2.7022,2.9754
2002-07-17,1.951,2.301,2.7554,2.9603
2002-07-18,2.0377,2.3509,2.7564,2.9215
2002-07-19,1.9455,2.3792,2.9312,3.0026
2002-07-22,1.9244,2.3858,2.9691,2.9796
2002-07-23,1.8443,2.2977,2.8758,2.9682
2002-07-24,1.8809,2.3655,2.9785,2.9978
2002-07-25,1.9674,2.3234,2.7816,2.9241
2002-07-26,1.9005,2.3353,2.8931,3.0384
2002-07-29,1.9695,2.3313,2.7962,2.9307
2002-07-30,1.9883,2.3453,2.8115,3.0636
2002-07-31,1.9311,2.3379,2.869,3.1575
2002-08-01,1.9513,2.4047,2.9805,3.0342
2002-08-02,2.0108,2.4552,3.0287,3.2357
2002-08-05,1.9685,2.4183,3.0054,3.3193
2002-08-06,1.956,2.3805,2.9415,3.3559
2002-08-07,1.9663,2.4093,2.99,3.3414
2002-08-08,2.0094,2.3857,2.8753,3.1139
2002-08-09,1.927,2.4791,3.1741,3.1379
2002-08-12,1.9938,2.4743,3.0804,3.072
2002-08-13,2.0235,2.4441,2.9737,2.9514
2002-08-14,2.0051,2.4487,3.0038,2.9204
2002-08-15,2.0058,2.4301,2.988,3.3506
2002-08-16,1.9307,2.5572,3.3451,3.2949
