date,open,high,low,close,volume
2005-01-04,29110.0,29190.0,28270.0,28560.0,134210
2005-01-05,27990.0,27990.0,27990.0,27990.0,4054
2005-01-06,28070.0,28520.0,28020.0,28470.0,118436
2005-01-07,28380.0,28570.0,28310.0,28420.0,76214
2005-01-10,28390.0,28590.0,27930.0,28150.0,115932
2005-01-11,28360.0,28550.0,28330.0,28510.0,88654
2005-01-12,28800.0,28920.0,28730.0,28900.0,72470
2005-01-13,28820.0,28870.0,28650.0,28810.0,76128
2005-01-14,28550.0,28810.0,28520.0,28800.0,79154
2005-01-17,29000.0,29530.0,28950.0,29290.0,103014
2005-01-18,29200.0,29340.0,28980.0,29250.0,87748
2005-01-19,29350.0,29630.0,29310.0,29590.0,86840
2005-01-20,29540.0,29750.0,29470.0,29570.0,64930
2005-01-21,29880.0,30010.0,29740.0,30000.0,67626
2005-01-24,30290.0,30710.0,30270.0,30620.0,71158
2005-01-25,29300.0,29580.0,29250.0,29580.0,74766
2005-01-26,29480.0,29560.0,28790.0,29020.0,172550
2005-01-27,29470.0,29720.0,29460.0,29620.0,86284
2005-01-28,29420.0,29660.0,29360.0,29610.0,92426
2005-01-31,29850.0,29930.0,29370.0,29470.0,99588
2005-02-01,29600.0,29700.0,29490.0,29550.0,61818
2005-02-02,29320.0,29470.0,29250.0,29460.0,59130
2005-02-03,29170.0,29260.0,28820.0,28920.0,104998
2005-02-04,29130.0,29280.0,28970.0,29270.0,71274
2005-02-16,29990.0,29990.0,29960.0,29990.0,24370
2005-02-17,30060.0,30310.0,29960.0,30290.0,59786
2005-02-18,30850.0,31000.0,30720.0,30990.0,64392
2005-02-21,30030.0,30170.0,29910.0,30110.0,56902
2005-02-22,30100.0,30530.0,30030.0,30520.0,64358
2005-02-23,30400.0,30470.0,30150.0,30220.0,77852
2005-02-24,30420.0,30750.0,30400.0,30740.0,82740
2005-02-25,30400.0,30440.0,30080.0,30220.0,95590
2005-02-28,30550.0,31010.0,30550.0,30860.0,87278
2005-03-01,30670.0,30820.0,30590.0,30680.0,68676
2005-03-02,30350.0,30550.0,30200.0,30540.0,87364
2005-03-03,30940.0,30940.0,30580.0,30620.0,59456
2005-03-04,30700.0,30910.0,30110.0,30520.0,127260
2005-03-07,30920.0,30950.0,30720.0,30760.0,59582
2005-03-08,30900.0,30920.0,30750.0,30920.0,51700
2005-03-09,30930.0,31300.0,30870.0,31260.0,75670
2005-03-10,31260.0,31350.0,31080.0,31300.0,61104
2005-03-11,31230.0,31320.0,31110.0,31170.0,41138
2005-03-14,31080.0,31250.0,31010.0,31250.0,42474
2005-03-15,31040.0,31420.0,31040.0,31340.0,48184
2005-03-16,30900.0,31560.0,30870.0,31450.0,54234
2005-03-17,31350.0,31690.0,31230.0,31550.0,63490
2005-03-18,31460.0,31580.0,30810.0,31160.0,94270
2005-03-21,31540.0,31660.0,31350.0,31530.0,55542
2005-03-22,31260.0,31530.0,31230.0,31440.0,49994
2005-03-23,31300.0,31420.0,31130.0,31180.0,61262
2005-03-24,30820.0,31050.0,30730.0,31030.0,74572
2005-03-25,31070.0,31410.0,31020.0,31390.0,69876
2005-03-28,31450.0,31690.0,31180.0,31340.0,75860
2005-03-29,31460.0,31560.0,31330.0,31440.0,51234
2005-03-30,31400.0,31460.0,31110.0,31280.0,84436
2005-03-31,31660.0,31700.0,31450.0,31550.0,57780
2005-04-01,31650.0,31760.0,31540.0,31720.0,59334
2005-04-04,31410.0,31620.0,31380.0,31560.0,46902
2005-04-05,31690.0,31760.0,31610.0,31630.0,40470
2005-04-06,31680.0,32120.0,31630.0,32110.0,71744
2005-04-07,32400.0,32580.0,32380.0,32530.0,49474
2005-04-08,32400.0,32500.0,32330.0,32450.0,40084
2005-04-11,32580.0,33160.0,32560.0,33150.0,54930
2005-04-12,33200.0,33620.0,32880.0,33270.0,104488
2005-04-13,32860.0,33160.0,32830.0,33040.0,55926
2005-04-14,32560.0,32650.0,31660.0,31710.0,149804
2005-04-15,31700.0,32250.0,31660.0,32210.0,104612
2005-04-18,32400.0,32510.0,32280.0,32350.0,63886
2005-04-19,32530.0,32910.0,32530.0,32910.0,47476
2005-04-20,33550.0,33630.0,33360.0,33560.0,63724
2005-04-21,33120.0,33190.0,32220.0,32310.0,83146
2005-04-22,32500.0,32860.0,32500.0,32740.0,68138
2005-04-25,32770.0,32800.0,32110.0,32350.0,105984
2005-04-26,32690.0,32710.0,32520.0,32690.0,44724
2005-04-27,32200.0,32280.0,31790.0,31920.0,98554
2005-04-28,31960.0,32010.0,31720.0,31870.0,74048
2005-04-29,31790.0,32110.0,31760.0,32090.0,47962
2005-05-09,32030.0,32450.0,32030.0,32380.0,57800
2005-05-10,32450.0,32680.0,32320.0,32680.0,70610
2005-05-11,32700.0,32750.0,32220.0,32430.0,91430
2005-05-12,32260.0,32390.0,32000.0,32010.0,77890
2005-05-13,31250.0,31290.0,30910.0,30910.0,64758
2005-05-16,30810.0,31240.0,30760.0,31070.0,103594
2005-05-17,31200.0,31340.0,30050.0,30450.0,192832
2005-05-18,30600.0,30720.0,30220.0,30700.0,150688
2005-05-19,30990.0,31000.0,30710.0,30750.0,110200
2005-05-20,30490.0,30790.0,30450.0,30770.0,80898
2005-05-23,30700.0,30740.0,30500.0,30530.0,88040
2005-05-24,30800.0,31000.0,30730.0,30990.0,63434
2005-05-25,30980.0,31070.0,30890.0,30990.0,50440
2005-05-26,31160.0,31290.0,30880.0,30950.0,64564
2005-05-27,31260.0,31320.0,31020.0,31160.0,65124
2005-05-30,31000.0,31170.0,30930.0,31020.0,47920
2005-05-31,30850.0,30950.0,30630.0,30680.0,90894
2005-06-01,29780.0,29790.0,29640.0,29730.0,39400
2005-06-02,30200.0,30700.0,30130.0,30700.0,72944
2005-06-03,31140.0,31440.0,31120.0,31190.0,89464
2005-06-06,32200.0,32510.0,32090.0,32510.0,68290
2005-06-07,32260.0,32370.0,32020.0,32370.0,85124
2005-06-08,31940.0,32010.0,31800.0,31850.0,82704
2005-06-09,31550.0,31980.0,31520.0,31960.0,64896
2005-06-10,32150.0,32540.0,32150.0,32540.0,82482
2005-06-13,32900.0,32950.0,32650.0,32700.0,67750
2005-06-14,32840.0,32950.0,31900.0,32340.0,115338
2005-06-15,32360.0,32700.0,32290.0,32690.0,52798
2005-06-16,32790.0,32980.0,32660.0,32880.0,54932
2005-06-17,33050.0,33330.0,32700.0,33290.0,89728
2005-06-20,34110.0,34450.0,34050.0,34370.0,73076
2005-06-21,33960.0,34160.0,33820.0,33960.0,66506
2005-06-22,34140.0,34270.0,34010.0,34070.0,48096
2005-06-23,33820.0,33930.0,33200.0,33440.0,99138
2005-06-24,33550.0,33870.0,33410.0,33860.0,68858
2005-06-27,33070.0,33130.0,32860.0,33080.0,64312
2005-06-28,32950.0,32990.0,32600.0,32770.0,89748
2005-06-29,32670.0,32670.0,32110.0,32300.0,120046
2005-06-30,32860.0,32930.0,32750.0,32850.0,70630
2005-07-01,32010.0,32520.0,31820.0,32520.0,98078
2005-07-04,31720.0,31940.0,31580.0,31920.0,93620
2005-07-05,31880.0,32450.0,31880.0,32240.0,100542
2005-07-06,32600.0,32760.0,32400.0,32550.0,102642
2005-07-07,32950.0,33050.0,32810.0,33040.0,71164
2005-07-08,32980.0,33120.0,32850.0,33050.0,63232
2005-07-11,33270.0,33390.0,33060.0,33070.0,81552
2005-07-12,33250.0,33330.0,33130.0,33220.0,61482
2005-07-13,32950.0,33130.0,32940.0,33080.0,56070
2005-07-14,33200.0,33390.0,33150.0,33350.0,40660
2005-07-15,33240.0,33390.0,33160.0,33190.0,43760
2005-07-18,33300.0,33450.0,33210.0,33270.0,39830
2005-07-19,33250.0,33360.0,33200.0,33290.0,28748
2005-07-20,33580.0,33650.0,32980.0,33340.0,93342
2005-07-21,33490.0,33530.0,33360.0,33420.0,25144
2005-07-22,32900.0,33670.0,32800.0,33650.0,84778
2005-07-25,33980.0,34670.0,33910.0,34580.0,61232
2005-07-26,33600.0,34060.0,33600.0,33870.0,45688
2005-07-27,33760.0,33930.0,33630.0,33670.0,41012
2005-07-28,34220.0,34490.0,34220.0,34360.0,44228
2005-07-29,34790.0,34870.0,34250.0,34370.0,71960
2005-08-01,34500.0,34500.0,34200.0,34280.0,31446
2005-08-02,34740.0,34760.0,34530.0,34660.0,40956
2005-08-03,34700.0,34710.0,34540.0,34650.0,21690
2005-08-04,34790.0,34800.0,34320.0,34460.0,38422
2005-08-05,34380.0,34490.0,34120.0,34310.0,56970
2005-08-08,34180.0,34310.0,33700.0,33760.0,54752
2005-08-09,33980.0,34350.0,33640.0,34320.0,109290
2005-08-10,33400.0,33600.0,33370.0,33460.0,96800
2005-08-11,34100.0,34230.0,33920.0,34140.0,60840
2005-08-12,34050.0,34180.0,33990.0,34070.0,36276
2005-08-15,34450.0,34850.0,34420.0,34740.0,50226
2005-08-16,34940.0,35060.0,34800.0,34970.0,37880
2005-08-17,34800.0,34870.0,34610.0,34620.0,37010
2005-08-18,33900.0,34210.0,33840.0,34020.0,49934
2005-08-19,34120.0,34160.0,33740.0,33750.0,62330
2005-08-22,34000.0,34180.0,33950.0,34170.0,43792
2005-08-23,34600.0,34810.0,34520.0,34790.0,39134
2005-08-24,34730.0,34750.0,34540.0,34600.0,41156
2005-08-25,34460.0,34530.0,34320.0,34490.0,43236
2005-08-26,34200.0,34450.0,34050.0,34400.0,61946
2005-08-29,34920.0,35020.0,34870.0,34910.0,33970
2005-08-30,34740.0,34880.0,34670.0,34750.0,32094
2005-08-31,34960.0,34990.0,34850.0,34960.0,29462
2005-09-01,34580.0,34790.0,34580.0,34620.0,49604
2005-09-02,34900.0,34940.0,34700.0,34780.0,46652
2005-09-05,35160.0,35240.0,35050.0,35070.0,37180
2005-09-06,35140.0,35140.0,34960.0,35010.0,26830
2005-09-07,34850.0,34850.0,34640.0,34690.0,34140
2005-09-08,34550.0,34920.0,34520.0,34910.0,33116
2005-09-09,34370.0,34620.0,34370.0,34550.0,49610
2005-09-12,34520.0,34690.0,34510.0,34650.0,33342
2005-09-13,35000.0,35070.0,34890.0,34930.0,38780
2005-09-14,34780.0,34870.0,34670.0,34760.0,23628
2005-09-15,34780.0,34860.0,34570.0,34620.0,33140
2005-09-16,34530.0,34560.0,34270.0,34290.0,41336
2005-09-19,33750.0,33750.0,33480.0,33510.0,45576
2005-09-20,34380.0,34510.0,34330.0,34360.0,48624
2005-09-21,34420.0,34490.0,34320.0,34430.0,35832
2005-09-22,35100.0,35300.0,35030.0,35260.0,47058
2005-09-23,35200.0,35510.0,35150.0,35410.0,43650
2005-09-26,35350.0,35440.0,35200.0,35210.0,23888
2005-09-27,35650.0,35710.0,35490.0,35500.0,33216
2005-09-28,35500.0,35530.0,35430.0,35490.0,19260
2005-09-29,35630.0,35640.0,35480.0,35540.0,19978
2005-09-30,35520.0,35600.0,35490.0,35580.0,17816
2005-10-10,36490.0,36950.0,36490.0,36950.0,22786
2005-10-11,36900.0,37240.0,36600.0,36810.0,46442
2005-10-12,37400.0,37470.0,37260.0,37300.0,26990
2005-10-13,36800.0,37040.0,36720.0,37020.0,30822
2005-10-14,36560.0,36780.0,36560.0,36700.0,32740
2005-10-17,36800.0,37220.0,36800.0,37180.0,26642
2005-10-18,37790.0,37940.0,37790.0,37820.0,25862
2005-10-19,37440.0,37560.0,37180.0,37230.0,32492
2005-10-20,37280.0,37470.0,37200.0,37460.0,23720
