date,open,high,low,close,volume,amount
2005-01-04,996.278,996.278,982.988,989.984,49473755,259589539.0
2005-01-05,989.873,1018.261,988.568,1013.583,82266144,441803030.0
2005-01-06,1014.965,1014.965,1001.213,1005.465,73245401,386428399.0
2005-01-07,1005.515,1021.706,1001.096,1011.74,75824002,443201562.0
2005-01-10,1011.925,1023.638,1007.802,1023.638,59692764,334380575.0
2005-01-11,1024.036,1027.159,1017.792,1027.159,78262585,422969885.0
2005-01-12,1026.741,1026.741,1014.768,1024.92,76247710,414983403.0
2005-01-13,1024.132,1030.486,1020.67,1029.298,102111201,596290832.0
2005-01-14,1028.99,1034.589,1011.44,1011.875,86413352,489983019.0
2005-01-17,1002.333,1002.333,984.384,986.661,92119216,523647613.0
2005-01-18,985.674,1008.483,985.674,1008.107,99050423,501013308.0
2005-01-19,1007.109,1008.221,997.623,1002.46,116230013,579483565.0
2005-01-20,999.93,999.93,982.423,989.441,110844545,574109085.0
2005-01-21,987.432,1007.924,966.077,1006.25,166007432,854971965.0
2005-01-24,1028.014,1028.999,1016.091,1028.011,177842299,956858403.0
2005-01-25,1023.096,1023.096,1005.488,1015.1,129020495,684957954.0
2005-01-26,1014.253,1015.128,1004.606,1006.84,120591910,644322041.0
2005-01-27,1005.889,1005.889,988.116,989.414,115175726,587830237.0
2005-01-28,989.414,989.414,960.244,963.005,107392800,533650469.0
2005-01-31,954.944,954.944,923.126,924.166,114388661,568290192.0
2005-02-01,917.296,929.22,905.209,905.802,110752514,553877868.0
2005-02-02,904.128,959.993,904.128,958.392,152885865,785164718.0
2005-02-03,956.729,962.258,936.508,936.861,138602679,693933906.0
2005-02-04,937.15,954.908,934.96,952.392,127717964,625729830.0
2005-02-16,959.281,975.5,958.477,966.385,125149870,607772540.0
2005-02-17,966.036,973.808,957.801,973.808,112747945,532734950.0
2005-02-18,973.19,974.213,963.76,964.005,107920254,523135989.0
2005-02-21,963.578,983.685,963.578,983.608,131163055,667415493.0
2005-02-22,983.96,1016.375,982.757,1015.658,227720595,1264275078.0
2005-02-23,1016.768,1038.911,1010.434,1032.895,261375515,1538436291.0
2005-02-24,1031.754,1037.78,1023.296,1035.348,233797098,1364538388.0
2005-02-25,1034.536,1046.989,1032.319,1032.413,225667912,1328017351.0
2005-02-28,1032.182,1034.462,1021.861,1029.384,173478562,1019363572.0
2005-03-01,1028.613,1031.544,1018.99,1030.815,147051711,820164592.0
2005-03-02,1031.502,1038.35,1013.831,1014.527,183192094,1033918085.0
2005-03-03,1011.26,1021.446,1003.213,1020.248,132787374,700373468.0
2005-03-04,1020.55,1022.232,1009.842,1011.361,110389762,609366074.0
2005-03-07,1011.808,1016.56,1009.266,1013.594,97226764,557313567.0
2005-03-08,1014.257,1037.056,1014.257,1037.029,159423267,1002768664.0
2005-03-09,1039.514,1044.005,1034.475,1042.182,188012566,1069727043.0
2005-03-10,1042.737,1043.317,1008.397,1011.791,173518674,1040762076.0
2005-03-11,1009.981,1018.112,1005.951,1017.453,140169222,823588167.0
