,年化,夏普,最大回撤,卡玛,均|仓|
熊增强·多空(定稿),20.7%,1.01,-20.9%,0.99,61.2%
熊增强·纯多(禁空),11.7%,0.67,-25.4%,0.46,28.7%
仅量价·多空,20.4%,0.99,-21.9%,0.93,61.3%
持有512100,4.1%,0.19,-46.3%,0.09,
,,,,,
2018·多空,33.7%,1.47,-11.1%,3.04,
2018·纯多,-5.4%,-0.68,-12.6%,-0.43,
2018·持有,-35.8%,-1.87,-40.0%,-0.89,
,,,,,
2019·多空,39.0%,1.82,-5.8%,6.70,
2019·纯多,35.7%,2.07,-5.8%,6.11,
2019·持有,35.0%,1.20,-19.3%,1.82,
,,,,,
2020·多空,26.4%,1.21,-11.1%,2.38,
2020·纯多,25.0%,1.31,-8.7%,2.88,
2020·持有,31.5%,1.02,-15.9%,1.98,
,,,,,
2021·多空,20.1%,1.22,-7.9%,2.54,
2021·纯多,17.7%,1.32,-8.3%,2.14,
2021·持有,24.4%,1.09,-10.4%,2.34,
,,,,,
2022·多空,-8.6%,-0.48,-20.1%,-0.43,
2022·纯多,-10.2%,-0.74,-17.1%,-0.59,
2022·持有,-22.3%,-0.97,-33.9%,-0.66,
,,,,,
2023·多空,14.6%,1.24,-6.3%,2.33,
2023·纯多,5.5%,0.48,-6.3%,0.87,
2023·持有,-5.3%,-0.46,-19.5%,-0.27,
,,,,,
2024·多空,22.9%,0.82,-20.3%,1.13,
2024·纯多,11.7%,0.50,-20.3%,0.58,
2024·持有,2.0%,0.16,-26.2%,0.07,
,,,,,
2025·多空,31.2%,1.95,-6.3%,4.98,
2025·纯多,23.3%,2.35,-4.8%,4.85,
2025·持有,29.4%,1.26,-16.1%,1.82,
,,,,,
2026·多空,8.1%,0.43,-9.0%,0.90,
2026·纯多,7.6%,0.48,-7.2%,1.05,
2026·持有,3.2%,0.19,-14.1%,0.23,
,,,,,
