季度,事件,名称,明细
2015Q1,入库,returns,类库 IC=+0.107 方向=+1
2015Q1,入库,abs(returns),类库 IC=+0.094 方向=+1
2015Q1,入库,"delta(sub(amount,open),3)",类库 IC=+0.043 方向=+1
2015Q1,入库,"ts_slope(sub(low,high),10)",类库 IC=+0.051 方向=-1
2015Q1,入库,"ts_std(returns,5)",类库 IC=+0.097 方向=+1
2015Q1,入库,"sub(high,low)",类库 IC=+0.113 方向=+1
2015Q1,入库,"ts_std(high,5)",类库 IC=+0.052 方向=+1
2015Q1,入库,"mul(high,delta(returns,20))",类库 IC=+0.111 方向=+1
2015Q1,入库,"ts_slope(ts_argmin(volume,10),10)",类库 IC=+0.051 方向=-1
2015Q1,入库,"delta(returns,10)",类库 IC=+0.070 方向=+1
2015Q1,入库,"ts_argmin(volume,40)",专属hs300 IC=+0.026 方向=+1
2015Q1,入库,"delay(ts_rank(volume,40),60)",专属hs300 IC=+0.097 方向=-1
2015Q1,入库,"ts_er(returns,5)",专属hs300 IC=+0.121 方向=+1
2015Q1,入库,"mul(ts_rank(ts_rank(amount,40),60),ts_rank(sub(slog(amount),low),40))",专属hs300 IC=+0.038 方向=+1
2015Q1,入库,"abs(ts_max(ts_min(beta120,244),3))",专属zz500 IC=+0.073 方向=+1
2015Q1,入库,"slog(div(amount,ts_mean(returns,20)))",专属zz500 IC=+0.044 方向=+1
2015Q1,入库,"div(abs(ts_max(returns,3)),ts_std(low,3))",专属zz500 IC=+0.095 方向=+1
2015Q1,入库,"slog(div(amount,ts_mean(returns,3)))",专属zz500 IC=+0.038 方向=+1
2015Q1,入库,"abs(ts_std(returns,3))",专属zz500 IC=+0.159 方向=+1
2015Q1,入库,"ts_min(returns,60)",专属zz500 IC=+0.061 方向=-1
2015Q1,入库,"ts_argmax(ts_std(volume,10),10)",专属zz500 IC=+0.048 方向=-1
2015Q1,入库,"ts_er(delta(returns,40),5)",专属zz1000 IC=+0.055 方向=+1
2015Q1,入库,"ts_tsi(ts_tsi(returns,10),5)",专属zz1000 IC=+0.076 方向=+1
2015Q1,入库,"ts_tsi(ts_tsi(open,60),20)",专属zz1000 IC=+0.043 方向=+1
2015Q1,入库,"ts_sum(ts_std(open,10),3)",专属cyb IC=+0.078 方向=+1
2015Q1,入库,"ts_rank(ts_argmax(returns,3),3)",专属cyb IC=+0.140 方向=-1
2015Q1,入库,"ts_rank(returns,3)",专属cyb IC=+0.144 方向=+1
2015Q1,入库,"ts_std(open,3)",专属cyb IC=+0.058 方向=+1
2015Q1,入库,"ts_tsi(ema(returns,3),3)",专属cyb IC=+0.067 方向=+1
2015Q1,入库,"ts_std(ts_std(ts_std(low,10),10),10)",专属cyb IC=+0.093 方向=+1
2015Q1,入库,"delay(open,20)",专属cyb IC=+0.053 方向=-1
2015Q1,入库,"ts_sum(ts_std(ts_argmin(amount,60),10),3)",专属cyb IC=+0.077 方向=+1
2015Q1,入库,"ts_std(ts_er(low,3),10)",专属cyb IC=+0.073 方向=+1
2015Q1,入库,"ts_argmax(ts_tsi(ts_zscore(volume,60),60),10)",专属hongli IC=+0.059 方向=-1
2015Q1,入库,"ts_argmax(ts_tsi(ts_zscore(ts_zscore(close,60),40),60),40)",专属hongli IC=+0.076 方向=-1
2015Q1,入库,"ts_std(ssqrt(neg(close)),10)",专属hongli IC=+0.036 方向=+1
2015Q1,入库,"ts_er(ts_zscore(ts_argmax(volume,10),120),20)",专属hongli IC=+0.065 方向=-1
2015Q1,入库,"ts_er(ts_argmin(ssqrt(amount),60),20)",专属hongli IC=+0.037 方向=+1
2015Q2,立即退役,"abs(ts_max(ts_min(beta120,244),3))",IC=-0.064
2015Q2,立即退役,"slog(div(amount,ts_mean(returns,20)))",IC=-0.095
2015Q2,入库,"ts_argmax(ts_rank(delta(ts_rank(close,40),60),40),20)",专属hs300 IC=+0.057 方向=-1
2015Q2,入库,"ts_argmax(ts_rank(delta(close,60),40),20)",专属hs300 IC=+0.092 方向=-1
2015Q2,入库,"ts_argmax(ts_rank(ts_rank(delta(close,60),40),40),20)",专属hs300 IC=+0.065 方向=-1
2015Q2,入库,"ts_argmax(ts_rank(ts_rank(delta(ts_rank(close,40),60),244),20),20)",专属hs300 IC=+0.067 方向=-1
2015Q2,入库,"ts_slope(ts_argmax(ts_rank(delta(close,60),40),20),40)",专属hs300 IC=+0.041 方向=-1
2015Q2,入库,"ts_argmax(ts_rank(delta(ts_rank(delta(low,60),40),60),40),20)",专属hs300 IC=+0.012 方向=-1
2015Q2,入库,"ts_argmax(ts_argmax(delta(close,60),40),20)",专属hs300 IC=+0.027 方向=+1
2015Q2,入库,"delay(ts_zscore(ts_max(volume,60),244),10)",专属zz500 IC=+0.116 方向=-1
2015Q2,入库,"div(div(amount,open),ts_std(ts_mean(amount,120),60))",专属zz500 IC=+0.070 方向=+1
2015Q2,入库,"ts_mean(ts_corr(open,high,3),20)",专属zz500 IC=+0.012 方向=-1
2015Q2,入库,"ts_argmax(delay(open,60),10)",专属zz500 IC=+0.100 方向=+1
2015Q2,入库,"div(ts_decay_linear(low,3),open)",专属zz500 IC=+0.057 方向=+1
2015Q2,入库,"ts_max(ts_corr(amount,low,5),120)",专属zz500 IC=+0.098 方向=-1
2015Q2,入库,"mul(ts_rank(mul(div(returns,volume),ts_argmax(amount,10)),60),amount)",专属zz1000 IC=+0.140 方向=+1
2015Q2,入库,"mul(div(mul(div(div(returns,volume),volume),ts_argmax(amount,10)),volume),ts_min",专属zz1000 IC=+0.140 方向=+1
2015Q2,入库,"ts_zscore(volume,3)",专属zz1000 IC=+0.011 方向=+1
2015Q2,入库,"mul(div(mul(sign(ts_tsi(returns,3)),ts_argmax(amount,10)),volume),add(sign(ts_ts",专属zz1000 IC=+0.081 方向=+1
2015Q2,入库,"ts_sum(ts_zscore(volume,10),60)",专属zz1000 IC=+0.091 方向=+1
2015Q2,入库,"ts_std(ts_min(ts_min(low,5),3),10)",专属cyb IC=+0.029 方向=+1
2015Q2,入库,"delta(ts_tsi(returns,40),5)",专属cyb IC=+0.029 方向=+1
2015Q2,入库,"add(add(ts_std(ts_zscore(returns,20),10),ts_zscore(ts_min(low,3),20)),ts_zscore(",专属cyb IC=+0.116 方向=+1
2015Q2,入库,"add(ts_std(ts_min(low,20),10),add(ts_std(ts_std(close,10),10),delta(returns,20))",专属cyb IC=+0.057 方向=+1
2015Q2,入库,"div(low,ts_zscore(returns,20))",专属cyb IC=+0.138 方向=+1
2015Q2,入库,"mul(volume,ts_slope(ts_zscore(volume,60),40))",专属hongli IC=+0.111 方向=+1
2015Q2,入库,"div(beta120,ts_slope(ts_min(ts_zscore(ts_slope(volume,40),60),3),10))",专属hongli IC=+0.083 方向=+1
2015Q2,入库,"div(ts_std(volume,10),ts_tsi(low,10))",专属hongli IC=+0.031 方向=+1
2015Q2,入库,"div(add(ts_std(volume,120),ts_slope(volume,40)),open)",专属hongli IC=+0.066 方向=+1
2015Q2,入库,"div(beta120,ts_tsi(amount,10))",专属hongli IC=+0.014 方向=+1
2015Q2,入库,"ts_er(ts_argmax(volume,20),20)",专属hongli IC=+0.075 方向=-1
2015Q3,立即退役,元老:双均线20/120,IC=-0.061
2015Q3,立即退役,元老:TSI_120,IC=-0.062
2015Q3,立即退役,元老:ER_120,IC=-0.067
2015Q3,立即退役,"ts_min(returns,60)",IC=-0.067
2015Q3,立即退役,"ts_er(delta(returns,40),5)",IC=-0.057
2015Q3,立即退役,"ts_std(open,3)",IC=-0.063
