编号,name,kind,sign,专属,elder,admit_q,status,retire_q,yellow
0,元老:双均线20/120,elder,-1.0,,True,2013Q1,退役,2015Q3,0
1,元老:年动量244,elder,1.0,,True,2013Q1,退役,2016Q4,0
2,元老:月动量20,elder,1.0,,True,2013Q1,在役,,0
3,元老:通道位置60,elder,1.0,,True,2013Q1,退役,2017Q1,0
4,元老:MACD12/26,elder,1.0,,True,2013Q1,退役,2018Q4,0
5,元老:距52周高点,elder,-1.0,,True,2013Q1,退役,2016Q1,0
6,元老:动量244扣20,elder,-1.0,,True,2013Q1,退役,2019Q2,0
7,元老:TSI_120,elder,-1.0,,True,2013Q1,退役,2015Q3,0
8,元老:ER_120,elder,-1.0,,True,2013Q1,退役,2015Q3,0
9,元老:AR系数,argarch,-1.0,,True,2013Q1,退役,2015Q4,0
10,元老:GARCH预测波动,argarch,1.0,,True,2013Q1,在役,,0
11,元老:标准化残差5日,argarch,1.0,,True,2013Q1,退役,2016Q4,0
12,元老:风险调整预期,argarch,1.0,,True,2013Q1,退役,2017Q1,0
13,returns,ga,1.0,,False,2015Q1,退役,2017Q1,0
14,abs(returns),ga,1.0,,False,2015Q1,退役,2025Q4,0
15,"delta(sub(amount,open),3)",ga,1.0,,False,2015Q1,退役,2026Q1,0
16,"ts_slope(sub(low,high),10)",ga,-1.0,,False,2015Q1,退役,2018Q3,0
17,"ts_std(returns,5)",ga,1.0,,False,2015Q1,在役,,0
18,"sub(high,low)",ga,1.0,,False,2015Q1,在役,,0
19,"ts_std(high,5)",ga,1.0,,False,2015Q1,退役,2017Q4,0
20,"mul(high,delta(returns,20))",ga,1.0,,False,2015Q1,退役,2022Q4,0
21,"ts_slope(ts_argmin(volume,10),10)",ga,-1.0,,False,2015Q1,退役,2017Q2,0
22,"delta(returns,10)",ga,1.0,,False,2015Q1,退役,2016Q4,0
23,"ts_argmin(volume,40)",ga,1.0,hs300,False,2015Q1,退役,2017Q3,0
24,"delay(ts_rank(volume,40),60)",ga,-1.0,hs300,False,2015Q1,退役,2025Q2,0
25,"ts_er(returns,5)",ga,1.0,hs300,False,2015Q1,退役,2022Q3,0
26,"mul(ts_rank(ts_rank(amount,40),60),ts_rank(sub(slog(amount),",ga,1.0,hs300,False,2015Q1,退役,2023Q2,0
27,"abs(ts_max(ts_min(beta120,244),3))",ga,1.0,zz500,False,2015Q1,退役,2017Q3,0
28,"slog(div(amount,ts_mean(returns,20)))",ga,1.0,zz500,False,2015Q1,退役,2018Q3,0
29,"div(abs(ts_max(returns,3)),ts_std(low,3))",ga,1.0,zz500,False,2015Q1,退役,2020Q4,0
30,"slog(div(amount,ts_mean(returns,3)))",ga,1.0,zz500,False,2015Q1,在役,,0
31,"abs(ts_std(returns,3))",ga,1.0,zz500,False,2015Q1,在役,,0
32,"ts_min(returns,60)",ga,-1.0,zz500,False,2015Q1,退役,2020Q1,0
33,"ts_argmax(ts_std(volume,10),10)",ga,-1.0,zz500,False,2015Q1,在役,,0
34,"ts_er(delta(returns,40),5)",ga,1.0,zz1000,False,2015Q1,在役,,0
35,"ts_tsi(ts_tsi(returns,10),5)",ga,1.0,zz1000,False,2015Q1,在役,,0
36,"ts_tsi(ts_tsi(open,60),20)",ga,1.0,zz1000,False,2015Q1,在役,,1
37,"ts_sum(ts_std(open,10),3)",ga,1.0,cyb,False,2015Q1,退役,2021Q2,0
38,"ts_rank(ts_argmax(returns,3),3)",ga,-1.0,cyb,False,2015Q1,退役,2024Q4,0
39,"ts_rank(returns,3)",ga,1.0,cyb,False,2015Q1,退役,2017Q2,0
40,"ts_std(open,3)",ga,1.0,cyb,False,2015Q1,退役,2022Q1,0
41,"ts_tsi(ema(returns,3),3)",ga,1.0,cyb,False,2015Q1,退役,2022Q1,0
42,"ts_std(ts_std(ts_std(low,10),10),10)",ga,1.0,cyb,False,2015Q1,退役,2021Q4,0
43,"delay(open,20)",ga,-1.0,cyb,False,2015Q1,退役,2022Q2,0
44,"ts_sum(ts_std(ts_argmin(amount,60),10),3)",ga,1.0,cyb,False,2015Q1,退役,2020Q2,0
45,"ts_std(ts_er(low,3),10)",ga,1.0,cyb,False,2015Q1,在役,,0
46,"ts_argmax(ts_tsi(ts_zscore(volume,60),60),10)",ga,-1.0,hongli,False,2015Q1,退役,2020Q4,0
47,"ts_argmax(ts_tsi(ts_zscore(ts_zscore(close,60),40),60),40)",ga,-1.0,hongli,False,2015Q1,退役,2023Q2,0
48,"ts_std(ssqrt(neg(close)),10)",ga,1.0,hongli,False,2015Q1,在役,,0
49,"ts_er(ts_zscore(ts_argmax(volume,10),120),20)",ga,-1.0,hongli,False,2015Q1,退役,2019Q2,0
50,"ts_er(ts_argmin(ssqrt(amount),60),20)",ga,1.0,hongli,False,2015Q1,在役,,0
51,"ts_argmax(ts_rank(delta(ts_rank(close,40),60),40),20)",ga,-1.0,hs300,False,2015Q2,退役,2020Q3,0
52,"ts_argmax(ts_rank(delta(close,60),40),20)",ga,-1.0,hs300,False,2015Q2,退役,2019Q4,0
53,"ts_argmax(ts_rank(ts_rank(delta(close,60),40),40),20)",ga,-1.0,hs300,False,2015Q2,退役,2019Q3,0
54,"ts_argmax(ts_rank(ts_rank(delta(ts_rank(close,40),60),244),2",ga,-1.0,hs300,False,2015Q2,退役,2022Q3,0
55,"ts_slope(ts_argmax(ts_rank(delta(close,60),40),20),40)",ga,-1.0,hs300,False,2015Q2,在役,,1
56,"ts_argmax(ts_rank(delta(ts_rank(delta(low,60),40),60),40),20",ga,-1.0,hs300,False,2015Q2,退役,2021Q1,0
57,"ts_argmax(ts_argmax(delta(close,60),40),20)",ga,1.0,hs300,False,2015Q2,退役,2025Q3,0
58,"delay(ts_zscore(ts_max(volume,60),244),10)",ga,-1.0,zz500,False,2015Q2,退役,2023Q2,0
59,"div(div(amount,open),ts_std(ts_mean(amount,120),60))",ga,1.0,zz500,False,2015Q2,退役,2023Q4,0
60,"ts_mean(ts_corr(open,high,3),20)",ga,-1.0,zz500,False,2015Q2,退役,2017Q3,0
61,"ts_argmax(delay(open,60),10)",ga,1.0,zz500,False,2015Q2,在役,,0
62,"div(ts_decay_linear(low,3),open)",ga,1.0,zz500,False,2015Q2,退役,2024Q4,0
63,"ts_max(ts_corr(amount,low,5),120)",ga,-1.0,zz500,False,2015Q2,退役,2024Q2,0
64,"mul(ts_rank(mul(div(returns,volume),ts_argmax(amount,10)),60",ga,1.0,zz1000,False,2015Q2,在役,,0
65,"mul(div(mul(div(div(returns,volume),volume),ts_argmax(amount",ga,1.0,zz1000,False,2015Q2,退役,2020Q2,0
66,"ts_zscore(volume,3)",ga,1.0,zz1000,False,2015Q2,退役,2021Q1,0
67,"mul(div(mul(sign(ts_tsi(returns,3)),ts_argmax(amount,10)),vo",ga,1.0,zz1000,False,2015Q2,在役,,1
68,"ts_sum(ts_zscore(volume,10),60)",ga,1.0,zz1000,False,2015Q2,退役,2017Q4,0
69,"ts_std(ts_min(ts_min(low,5),3),10)",ga,1.0,cyb,False,2015Q2,退役,2021Q3,0
70,"delta(ts_tsi(returns,40),5)",ga,1.0,cyb,False,2015Q2,退役,2020Q3,0
71,"add(add(ts_std(ts_zscore(returns,20),10),ts_zscore(ts_min(lo",ga,1.0,cyb,False,2015Q2,退役,2017Q1,0
72,"add(ts_std(ts_min(low,20),10),add(ts_std(ts_std(close,10),10",ga,1.0,cyb,False,2015Q2,退役,2020Q3,0
73,"div(low,ts_zscore(returns,20))",ga,1.0,cyb,False,2015Q2,退役,2025Q3,0
74,"mul(volume,ts_slope(ts_zscore(volume,60),40))",ga,1.0,hongli,False,2015Q2,在役,,0
75,"div(beta120,ts_slope(ts_min(ts_zscore(ts_slope(volume,40),60",ga,1.0,hongli,False,2015Q2,退役,2021Q3,0
76,"div(ts_std(volume,10),ts_tsi(low,10))",ga,1.0,hongli,False,2015Q2,退役,2020Q3,0
77,"div(add(ts_std(volume,120),ts_slope(volume,40)),open)",ga,1.0,hongli,False,2015Q2,退役,2018Q1,0
78,"div(beta120,ts_tsi(amount,10))",ga,1.0,hongli,False,2015Q2,退役,2021Q1,0
79,"ts_er(ts_argmax(volume,20),20)",ga,-1.0,hongli,False,2015Q2,退役,2026Q3,0
80,"abs(div(returns,ts_tsi(ts_std(returns,10),20)))",ga,1.0,hs300,False,2015Q3,在役,,0
