date,open,high,low,close,volume
2014-12-24,1763.0,1874.0,1763.0,1816.0,67948
2014-12-25,2073.0,2093.0,2061.0,2073.0,2001700
2014-12-26,2080.0,2112.0,2077.0,2086.0,1603100
2014-12-29,2089.0,2095.0,2035.0,2050.0,1756700
2014-12-30,2049.0,2088.0,2025.0,2041.0,2042600
2014-12-31,2038.0,2074.0,2036.0,2051.0,1344100
2015-01-05,2030.0,2057.0,2001.0,2007.0,816934
2015-01-06,1990.0,2041.0,1986.0,2022.0,1459904
2015-01-07,2014.0,2053.0,2000.0,2022.0,1956456
2015-01-08,2039.0,2048.0,2023.0,2031.0,1254914
2015-01-09,2036.0,2038.0,2006.0,2017.0,1134404
2015-01-12,2009.0,2022.0,1944.0,1945.0,1922098
2015-01-13,1940.0,1948.0,1897.0,1909.0,1754696
2015-01-14,1902.0,1956.0,1902.0,1922.0,2146990
2015-01-15,1929.0,1967.0,1915.0,1964.0,1804932
2015-01-16,1978.0,2014.0,1940.0,1984.0,3245946
2015-01-19,1986.0,2017.0,1978.0,2006.0,2255154
2015-01-20,2005.0,2012.0,1981.0,2004.0,1538922
2015-01-21,2008.0,2074.0,1992.0,2047.0,2224040
2015-01-22,2040.0,2090.0,2037.0,2052.0,2157772
2015-01-23,2063.0,2077.0,2033.0,2056.0,1699472
2015-01-26,2046.0,2057.0,2003.0,2018.0,1741602
2015-01-27,2029.0,2044.0,2019.0,2031.0,1347004
2015-01-28,2030.0,2087.0,2027.0,2077.0,2328506
2015-01-29,2080.0,2082.0,2052.0,2068.0,1434250
2015-01-30,2065.0,2069.0,2030.0,2037.0,1330872
2015-02-02,2043.0,2110.0,2020.0,2077.0,2024230
2015-02-03,2090.0,2139.0,2078.0,2124.0,3289656
2015-02-04,2136.0,2180.0,2118.0,2131.0,2562368
2015-02-05,2133.0,2142.0,2109.0,2127.0,1856124
2015-02-06,2141.0,2171.0,2136.0,2164.0,2532620
2015-02-09,2157.0,2163.0,2132.0,2143.0,1496256
2015-02-10,2147.0,2158.0,2124.0,2131.0,1338972
2015-02-11,2129.0,2140.0,2116.0,2138.0,1302640
2015-02-12,2135.0,2163.0,2127.0,2163.0,1660278
2015-02-13,2167.0,2227.0,2161.0,2227.0,2582492
2015-02-16,2245.0,2270.0,2222.0,2255.0,1963642
2015-02-17,2254.0,2271.0,2224.0,2245.0,1105950
2015-02-26,2281.0,2348.0,2271.0,2347.0,2685076
2015-02-27,2340.0,2365.0,2321.0,2356.0,3072800
2015-03-02,2356.0,2437.0,2356.0,2437.0,3422588
2015-03-03,2448.0,2537.0,2408.0,2415.0,6061648
2015-03-04,2416.0,2433.0,2371.0,2399.0,5918212
2015-03-05,2407.0,2451.0,2346.0,2445.0,8327044
2015-03-06,2448.0,2473.0,2416.0,2441.0,8520802
2015-03-09,2447.0,2484.0,2371.0,2470.0,9020298
2015-03-10,2469.0,2484.0,2413.0,2424.0,8152542
2015-03-11,2416.0,2443.0,2389.0,2400.0,7491580
2015-03-12,2405.0,2476.0,2386.0,2476.0,6740970
2015-03-13,2479.0,2481.0,2434.0,2443.0,5297354
2015-03-16,2428.0,2446.0,2403.0,2425.0,5521300
2015-03-17,2417.0,2443.0,2366.0,2385.0,7095116
2015-03-18,2370.0,2396.0,2318.0,2322.0,5443530
2015-03-19,2320.0,2373.0,2306.0,2320.0,5250016
2015-03-20,2303.0,2358.0,2303.0,2328.0,4732100
2015-03-23,2337.0,2367.0,2313.0,2334.0,5016200
2015-03-24,2338.0,2435.0,2335.0,2435.0,6262400
2015-03-25,2450.0,2462.0,2388.0,2401.0,3237300
2015-03-26,2414.0,2444.0,2400.0,2434.0,3904000
2015-03-27,2425.0,2437.0,2357.0,2392.0,4021100
2015-03-30,2401.0,2402.0,2353.0,2372.0,2686200
2015-03-31,2374.0,2426.0,2360.0,2406.0,3925000
2015-04-01,2403.0,2418.0,2374.0,2412.0,2746900
2015-04-02,2415.0,2485.0,2406.0,2468.0,4763600
2015-04-03,2448.0,2455.0,2382.0,2404.0,3287500
2015-04-07,2435.0,2444.0,2423.0,2431.0,995150
2015-04-08,2424.0,2448.0,2408.0,2432.0,2465100
2015-04-09,2428.0,2433.0,2377.0,2401.0,1789400
2015-04-10,2405.0,2418.0,2370.0,2377.0,1694400
2015-04-13,2377.0,2439.0,2367.0,2425.0,1402700
2015-04-14,2428.0,2433.0,2394.0,2416.0,867630
2015-04-15,2413.0,2436.0,2413.0,2419.0,776416
2015-04-16,2424.0,2522.0,2423.0,2522.0,982888
2015-04-17,2525.0,2582.0,2502.0,2554.0,3301800
2015-04-20,2547.0,2612.0,2533.0,2588.0,3037000
2015-04-21,2577.0,2578.0,2577.0,2578.0,2473500
2015-04-22,2558.0,2567.0,2518.0,2546.0,2857700
2015-04-23,2554.0,2565.0,2522.0,2534.0,2883400
2015-04-24,2547.0,2583.0,2545.0,2570.0,2809900
2015-04-27,2575.0,2610.0,2554.0,2591.0,2652500
2015-04-28,2592.0,2654.0,2578.0,2588.0,3394100
2015-04-29,2606.0,2607.0,2527.0,2546.0,2988100
2015-04-30,2553.0,2583.0,2544.0,2571.0,2577600
2015-05-04,2583.0,2586.0,2536.0,2563.0,1349900
2015-05-05,2573.0,2580.0,2551.0,2564.0,2152700
2015-05-06,2585.0,2622.0,2577.0,2590.0,3288700
2015-05-07,2600.0,2604.0,2533.0,2544.0,2708800
2015-05-08,2544.0,2544.0,2482.0,2511.0,2975300
2015-05-11,2523.0,2527.0,2496.0,2515.0,1885300
2015-05-12,2510.0,2520.0,2488.0,2503.0,1753100
2015-05-13,2515.0,2524.0,2496.0,2506.0,1599200
2015-05-14,2513.0,2516.0,2456.0,2492.0,2300200
2015-05-15,2492.0,2512.0,2483.0,2501.0,1899600
2015-05-18,2490.0,2498.0,2474.0,2488.0,1573700
2015-05-19,2485.0,2488.0,2437.0,2437.0,1815700
2015-05-20,2423.0,2435.0,2394.0,2432.0,2639500
2015-05-21,2436.0,2468.0,2428.0,2457.0,2253000
2015-05-22,2458.0,2485.0,2451.0,2469.0,1792900
2015-05-25,2448.0,2467.0,2429.0,2463.0,1532200
2015-05-26,2459.0,2510.0,2457.0,2457.0,1893400
2015-05-27,2443.0,2468.0,2435.0,2463.0,1612200
2015-05-28,2451.0,2477.0,2441.0,2453.0,1760800
2015-05-29,2429.0,2493.0,2429.0,2477.0,1986200
2015-06-01,2480.0,2501.0,2466.0,2473.0,1635900
2015-06-02,2472.0,2489.0,2451.0,2468.0,1373800
2015-06-03,2465.0,2495.0,2445.0,2450.0,1790500
2015-06-04,2436.0,2457.0,2416.0,2449.0,1641000
2015-06-05,2447.0,2458.0,2428.0,2435.0,1357300
2015-06-08,2442.0,2455.0,2431.0,2454.0,1054400
2015-06-09,2450.0,2474.0,2442.0,2458.0,961072
2015-06-10,2466.0,2485.0,2463.0,2485.0,1132100
2015-06-11,2493.0,2493.0,2438.0,2439.0,1512200
2015-06-12,2434.0,2450.0,2408.0,2443.0,1445400
2015-06-15,2445.0,2467.0,2439.0,2467.0,1225800
2015-06-16,2460.0,2532.0,2459.0,2514.0,2372000
2015-06-17,2503.0,2528.0,2489.0,2517.0,1846000
2015-06-18,2529.0,2536.0,2486.0,2490.0,1770100
2015-06-19,2499.0,2523.0,2491.0,2515.0,1515200
